Blancas,Negras,Result,ECO,Opening
susanamar1,Wildcard1659,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Hyrurg777,susanamar1,1-0,E81,"King's Indian Defense: Smisch Variation, Normal Defense"
CivEn,susanamar1,0-1,A48,East Indian Defense
pitopi,susanamar1,1-0,E71,King's Indian Defense: Makogonov Variation
susanamar1,franciscoacosta,0-1,B40,Sicilian Defense: French Variation
susanamar1,ptrujillo,1/2-1/2,B40,Sicilian Defense: Four Knights Variation
perdomod,susanamar1,1-0,C24,Bishop's : Vienna Hybrid
DrTactico,susanamar1,1-0,C53,"Italian Game: Scotch Gambit, Walbrodt-Baird Gambit"
susanamar1,venetru,1-0,B06,Modern Defense
susanamar1,RonalTrom,1-0,B30,Sicilian Defense: Old Sicilian
susanamar1,VENADORECARGADO,1-0,B00,Owen Defense
foreignaffairs,susanamar1,0-1,C45,Scotch Game: Mieses Variation
Israelpalma1,susanamar1,1-0,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
susanamar1,Tetengo,1-0,B01,Scandinavian Defense: Modern Variation
susanamar1,franblu,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Billyrvs,susanamar1,1/2-1/2,A45,Indian Defense
DiazVelandia,susanamar1,1-0,A45,Indian Defense
cerdicolis,susanamar1,0-1,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line"
susanamar1,venetru,1-0,B06,Modern Defense: Standard Defense
susanamar1,darthdo,1-0,B00,King's Pawn
susanamar1,marquizi,1-0,B40,Sicilian Defense: French Variation
daniellitillo,susanamar1,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, Riemann Defense"
susanamar1,daniellitillo,1-0,B32,Sicilian Defense: Lwenthal Variation
Astigto,susanamar1,1-0,A45,Indian Defense
susanamar1,jeffren10,1-0,B41,Sicilian Defense: Kan Variation
Cacho22,susanamar1,0-1,C50,"Italian Game: Classical Variation, Albin Gambit"
susanamar1,Lego77,0-1,B10,Caro-Kann Defense: Breyer Variation
franblu,susanamar1,1-0,B06,Modern Defense: Three Pawns Attack
susanamar1,Lego77,0-1,B10,Caro-Kann Defense: Breyer Variation
Cacho22,susanamar1,0-1,C55,Italian Game: Two Knights Defense
Wilsonpalencia,susanamar1,1-0,A48,Torre Attack
susanamar1,AlIrEzAFiRuLaIs,1-0,B40,Sicilian Defense: French Variation
karpoblanca_300,susanamar1,1-0,A48,London System
lcyfgcm18,susanamar1,1-0,E81,"King's Indian Defense: Smisch Variation, Normal Defense"
susanamar1,Chipodejunin,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
susanamar1,Chaturamanga,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
imalex321,susanamar1,1-0,E71,King's Indian Defense: Makogonov Variation
susanamar1,ciclohexano,1/2-1/2,B10,Caro-Kann Defense: Breyer Variation
susanamar1,vampirenergetik,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
bagjabudiman18,susanamar1,0-1,C70,"Ruy Lopez: Morphy Defense, Cozio Defense"
susanamar1,emiljoal,1-0,A08,King's Indian Attack: Sicilian Variation
THENEWRETURN,susanamar1,1/2-1/2,A52,"Indian Defense: Budapest Defense, Adler Variation"
susanamar1,Chaturamanga,0-1,B10,Caro-Kann Defense: Breyer Variation
Telam,susanamar1,0-1,A10,English : Great Snake Variation
susanamar1,chickens0003,1-0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
susanamar1,coventry,0-1,B07,Pirc Defense
TrushFc,susanamar1,1-0,C50,Giuoco Piano
susanamar1,loiters,1/2-1/2,B40,Sicilian Defense: French Variation
hectorluis2019,susanamar1,1-0,C69,"Ruy Lopez: Exchange Variation, Bronstein Variation"
Quepaseelquesigue,susanamar1,1-0,C70,"Ruy Lopez: Morphy Defense, Cozio Defense"
RnZ,susanamar1,1-0,A45,Trompowsky Attack
susanamar1,Jorgelafuria,1-0,C00,French Defense: King's Indian Attack
susanamar1,maxiss,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
eloveja,susanamar1,0-1,C24,Bishop's : Vienna Hybrid
juliodehebraica,susanamar1,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
gmbalaargentino,susanamar1,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
susanamar1,Kabencia89,1-0,C40,King's Pawn Game: Busch-Gass Gambit
fito2,susanamar1,1/2-1/2,C70,"Ruy Lopez: Morphy Defense, Cozio Defense"
susanamar1,VolkerGassmann,1/2-1/2,B02,Alekhine Defense: Marczy Variation
susanamar1,Chesslord1989,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation"
TTatHome,susanamar1,1-0,C55,"Italian Game: Two Knights Defense, Max Lange Attack"
susanamar1,LMoreno,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation, Traditional Line"
seeeagle,susanamar1,1-0,A24,"English : King's English Variation, Two Knights Variation, Fianchetto Line"
drah_ciR,susanamar1,1-0,A22,English : Carls-Bremen System
trinitybang,susanamar1,0-1,C53,"Italian Game: Classical Variation, Greco Gambit"
susanamar1,GuilleProChess,1-0,B01,Scandinavian Defense: Main Line
changoski,susanamar1,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
susanamar1,forerosmart,1-0,B01,Scandinavian Defense: Modern Variation
susanamar1,caraoz,0-1,B07,Pirc Defense
luyed4,susanamar1,0-1,C25,Vienna Game: Anderssen Defense
paladin80,susanamar1,0-1,C69,"Ruy Lopez: Exchange Variation, Bronstein Variation"
susanamar1,guilty93,0-1,B50,Sicilian Defense: Modern Variations
