Blancas,Negras,Result,ECO,Opening
mugathi,jchh,0-1,A43,Benoni Defense: Old Benoni
jchh,mugathi,0-1,A15,"English : Anglo-Indian Defense, King's Indian Formation"
mugathi,jchh,1-0,B40,Sicilian Defense: Pin Variation
jchh,Itachi95,0-1,B00,Owen Defense
almostagm,jchh,0-1,B13,Caro-Kann Defense: Exchange Variation
jchh,VicKarNek,0-1,B22,Sicilian Defense: Alapin Variation
The_only_Glaskopf,jchh,0-1,B40,Sicilian Defense: Delayed Alapin Variation
jchh,The_only_Glaskopf,0-1,B17,Caro-Kann Defense: Karpov Variation
The_only_Glaskopf,jchh,0-1,A04,Zukertort : Ross Gambit
jchh,The_only_Glaskopf,0-1,D14,"Slav Defense: Exchange Variation, Symmetrical Line"
jchh,Juergen717,0-1,B01,Scandinavian Defense: Boehnke Gambit
Juergen717,jchh,1-0,C20,King's Pawn Game: Leonardis Variation
jchh,aryamoney,0-1,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
aryamoney,jchh,1-0,A04,Zukertort : Sicilian Invitation
jchh,alexArtemov,1-0,A28,"English : King's English Variation, Four Knights Variation, Korchnoi Line"
jchh,ATHOUSANDGUY,1-0,D10,Slav Defense: Exchange Variation
ATHOUSANDGUY,jchh,1-0,B40,Sicilian Defense: Smith-Morra Gambit Deferred
jchh,Jamshut,0-1,B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line"
DavidWilson1980,jchh,1-0,B21,Sicilian Defense: Smith-Morra Gambit
wenni2,jchh,0-1,A43,Benoni Defense: Old Benoni
ragnord,jchh,0-1,A04,Zukertort : Sicilian Invitation
jchh,ragnord,0-1,B00,Owen Defense
jchh,Pauner98,1-0,A13,English : Agincourt Defense
jchh,Kot_kyza2,1/2-1/2,A15,"English : Anglo-Indian Defense, King's Knight Variation"
vouyerken,jchh,0-1,D40,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation"
jchh,Mrmqaisi001,1-0,A06,Zukertort : Tennison Gambit
DaN-CoOoL,jchh,0-1,B10,Caro-Kann Defense: Hillbilly Attack
jchh,DaN-CoOoL,0-1,A10,English
DaN-CoOoL,jchh,0-1,B20,Sicilian Defense: Bowdler Attack
jchh,DaN-CoOoL,1-0,A00,Saragossa
DaN-CoOoL,jchh,1-0,B20,Sicilian Defense: Bowdler Attack
jchh,vvtok78,1-0,C34,King's Gambit Accepted: King's Knight Gambit
jchh,warpzone,1-0,A07,King's Indian Attack
warpzone,jchh,0-1,B13,Caro-Kann Defense: Panov Attack
jchh,warpzone,0-1,B50,Sicilian Defense: Delayed Alapin
warpzone,jchh,0-1,A40,Modern Defense
jchh,warpzone,1-0,D30,Queen's Gambit Declined
warpzone,jchh,0-1,B13,"Caro-Kann Defense: Panov Attack, Modern Defense"
jchh,warpzone,0-1,B10,Caro-Kann Defense
warpzone,jchh,1-0,D80,Grnfeld Defense
jchh,Allandom,1/2-1/2,A21,English : King's English Variation
jchh,diego_77,1-0,A20,"English : King's English Variation, Nimzowitsch Variation"
warpzone,jchh,0-1,B13,"Caro-Kann Defense: Panov Attack, Modern Defense"
jchh,warpzone,0-1,A10,English
warpzone,jchh,1-0,B13,"Caro-Kann Defense: Panov Attack, Modern Defense"
sweet_rachel,jchh,1-0,B21,Sicilian Defense: Smith-Morra Gambit
peondama8,jchh,0-1,C01,French Defense: Exchange Variation
jchh,MrGambit150815,1/2-1/2,C31,"King's Gambit Declined: Falkbeer Countergambit, Milner-Barry Variation"
jchh,sonso,1-0,B22,Sicilian Defense: Alapin Variation
Svonder,jchh,1/2-1/2,A00,Van't Kruijs
Happiness64,jchh,1-0,A01,Nimzo-Larsen Attack
jchh,Jseijp,1-0,B30,Sicilian Defense: Old Sicilian
theoldplayer,jchh,1-0,B20,Sicilian Defense
jchh,naftaco,1-0,A10,English
LucasFelz,jchh,0-1,B50,Sicilian Defense: Modern Variations
nyny00,jchh,0-1,B10,Caro-Kann Defense
jchh,nyny00,1-0,A41,Old Indian Defense
BlueDrops,jchh,1-0,B40,Sicilian Defense: Four Knights Variation
jchh,Grace_multiplied,1-0,A13,English : Agincourt Defense
Wesley_Pie,jchh,0-1,B20,Sicilian Defense
nomedalagana,jchh,0-1,A43,Benoni Defense: Benoni Gambit Accepted
jchh,nomedalagana,1-0,B36,"Sicilian Defense: Accelerated Dragon, Marczy Bind, Gurgenidze Variation"
jchh,BboyCreeD,1/2-1/2,A53,Old Indian Defense: Czech Variation
BboyCreeD,jchh,0-1,A40,Queen's Pawn Game
jchh,HChinaski,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Domovoi_18,jchh,1-0,A34,"English : Symmetrical Variation, Fianchetto Variation"
jchh,vwv9999,1-0,A10,English : Great Snake Variation
vwv9999,jchh,1-0,D10,Slav Defense: Exchange Variation
jchh,vwv9999,1-0,C00,French Defense: Perseus Gambit
vwv9999,jchh,1-0,A43,Benoni Defense: Benoni-Indian Defense
jchh,vwv9999,1-0,B02,Alekhine Defense: Scandinavian Variation
jchh,Paddy371,1/2-1/2,B01,Scandinavian Defense: Boehnke Gambit
DavidLocks,jchh,1-0,B10,Caro-Kann Defense
jchh,Mastermorton,1-0,A10,English
Trippa,jchh,0-1,A43,Benoni Defense: Old Benoni
Bleifrei,jchh,1-0,A00,Hungarian
gosep,jchh,1-0,B40,Sicilian Defense: French Variation
jchh,gosep,0-1,A30,English : Symmetrical Variation
gnuzzi1972,jchh,0-1,A48,Torre Attack
jchh,pavelpavel,1-0,A20,"English : King's English Variation, Nimzowitsch Variation"
Dartagnan2021,jchh,0-1,A43,Benoni Defense: Old Benoni
slowhand5,jchh,0-1,A43,Benoni Defense: Old Benoni
jlanemoore,jchh,1-0,A43,Benoni Defense: Old Benoni
jchh,jlanemoore,0-1,B06,Modern Defense
jchh,nikyleeseev153,1-0,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
nikyleeseev153,jchh,0-1,E60,Neo-Grnfeld Defense: Non- or Delayed Fianchetto
jchh,nikyleeseev153,1-0,A35,"English : Symmetrical Variation, Four Knights Variation"
dhiyaeddine,jchh,1/2-1/2,A01,Nimzo-Larsen Attack: Indian Variation
jchh,saeid-M-M,1-0,A11,English : Caro-Kann Defensive System
