Blancas,Negras,Result,ECO,Opening
Serezha139,jab17,1-0,B22,Sicilian Defense: Alapin Variation
jab17,BearBully,0-1,A40,Horwitz Defense
jab17,rinoplastia,1/2-1/2,D06,Queen's Gambit Declined: Marshall Defense
jab17,Python-Chess,0-1,A75,"Benoni Defense: Classical Variation, Argentine Counterattack"
WilkuDwaZeby,jab17,0-1,B23,Sicilian Defense: Closed
jab17,otychess,0-1,D35,Queen's Gambit Declined: Exchange Variation
Joeyrd7,jab17,0-1,A01,Nimzo-Larsen Attack: English Variation
rybaan,jab17,1-0,A04,Zukertort : Sicilian Invitation
jab17,rybaan,0-1,A40,Modern Defense
rybaan,jab17,1-0,A04,Zukertort : Sicilian Invitation
rato23,jab17,1-0,B21,Sicilian Defense: Smith-Morra Gambit
mavroprovato,jab17,1-0,A04,Zukertort : Kingside Fianchetto
jab17,KanalSzachowy,0-1,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
jab17,MrVanHelsing,1-0,A45,Indian Defense: Omega Gambit
jab17,cesar1212,0-1,A65,Benoni Defense: King's Pawn Line
ChessWithOvi,jab17,0-1,B23,Sicilian Defense: Closed
jab17,Storm61,0-1,A42,Modern Defense: Averbakh System
Crucificador,jab17,0-1,B51,Sicilian Defense: Moscow Variation
jab17,mozartdelajedrez,0-1,D52,"Queen's Gambit Declined: Cambridge Springs Defense, Yugoslav Variation"
chessbia,jab17,1-0,A45,Indian Defense
jab17,TooSlowWayTooWeak,0-1,A40,English Defense
jab17,RRAA777,0-1,E91,King's Indian Defense: Orthodox Variation
rMblpb,jab17,0-1,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
ehozjan,jab17,1-0,B23,Sicilian Defense: Closed
jab17,MegaArtemka,1-0,E94,King's Indian Defense: Orthodox Variation
jab17,Buug87,1-0,D08,Queen's Gambit Declined: Albin Countergambit
agriokatsiki,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
jab17,chinitosamurai,1-0,A43,Benoni Defense: French Benoni
GermanTresJaques,jab17,1-0,E46,Nimzo-Indian Defense: Reshevsky Variation
jab17,BalaRionegrina,0-1,A01,Nimzo-Larsen Attack: Classical Variation
jab17,arkangl,0-1,A00,Hungarian : Catalan Formation
healer69,jab17,1-0,A00,Grob
Grabuark,jab17,1-0,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
jab17,thetaker42,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
SolarBird,jab17,1-0,A02,Bird
BoneDry112,jab17,1-0,A45,Indian Defense
jab17,HelgeA,1-0,D32,Tarrasch Defense: Schara Gambit
jab17,renelio,0-1,D85,"Grnfeld Defense: Exchange Variation, Modern Exchange Variation, Pawn Grab Line"
renelio,jab17,1-0,A01,Nimzo-Larsen Attack: Modern Variation
jab17,aria765,0-1,A60,"Benoni Defense: Modern Variation, Snake Variation"
Domcef,jab17,0-1,A00,Hungarian : Sicilian Invitation
jab17,PawnBrown,1-0,D06,Queen's Gambit Declined: Marshall Defense
gldanets,jab17,0-1,A37,"English : Symmetrical Variation, Two Knights Line"
jab17,Ruchess27,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
kmplayerchess,jab17,0-1,C10,French Defense: Rubinstein Variation
jab17,Sertsoun,0-1,E36,"Nimzo-Indian Defense: Classical Variation, Noa Variation"
SrHuron,jab17,1-0,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
vayntraubinator,jab17,0-1,B23,Sicilian Defense: Closed
dedaluz,jab17,0-1,B23,Sicilian Defense: Closed
jab17,Homino,0-1,A43,Benoni Defense: Old Benoni
jab17,SeanC83,0-1,D06,Queen's Gambit Declined: Austrian Defense
CaspianStriped,jab17,1-0,D02,Queen's Pawn Game: Zukertort Variation
Obetmandagie,jab17,1-0,E11,Bogo-Indian Defense: Retreat Variation
jab17,RacingChessLive,0-1,A65,Benoni Defense: King's Pawn Line
cochess,jab17,1-0,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
jab17,Kaspesky98,1-0,A43,Benoni Defense: Old Benoni
jab17,Gdmonster22,1-0,D11,Slav Defense: Modern Line
jab17,Themaninthemoon,1-0,A56,Benoni Defense: Hromdka System
Themaninthemoon,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, Adams Attack"
jab17,Themaninthemoon,0-1,A43,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order"
Themaninthemoon,jab17,0-1,A30,English : Symmetrical Variation
jab17,Elgranconejo,0-1,A00,Mieses
chiquisalafuga,jab17,0-1,B21,Sicilian Defense: Morphy Gambit
jab17,VinceFromYT,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
lucasbon6612,jab17,1-0,A06,Zukertort : Old Indian Attack
jab17,NobelOscar,0-1,A65,Benoni Defense: King's Pawn Line
jab17,Catlinfo,1-0,A00,Hungarian : Symmetrical Variation
CampeonMatias,jab17,1-0,A02,Bird
HYIDC,jab17,1-0,A40,Horwitz Defense
jab17,sauloviski,1-0,A00,Mieses
jab17,skrce,0-1,B00,Pirc Defense
jab17,astanov,0-1,D25,Queen's Gambit Accepted: Winawer Defense
Catlinfo,jab17,1-0,A34,"English : Symmetrical Variation, Normal Variation"
CampeonMatias,jab17,1/2-1/2,A02,Bird : Schlechter Gambit
jab17,Stojancho_Dimkovski,1/2-1/2,A43,Queen's Pawn Game: Liedmann Gambit
SeanC83,jab17,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
Rikelme11,jab17,1-0,B22,Sicilian Defense: Alapin Variation
jab17,Kabaya,1-0,E32,Nimzo-Indian Defense: Classical Variation
jab17,Totitos,1-0,B07,Modern Defense: Geller's System
pannekoekenbakker,jab17,0-1,B95,Sicilian Defense: Najdorf Variation
abes876,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
jab17,resjudicata,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Romg12,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
jab17,rfc11,1-0,A40,Queen's Pawn Game
jab17,Doandris2004,1-0,A50,Indian Defense: Normal Variation
jeffren10,jab17,0-1,B95,Sicilian Defense: Najdorf Variation
jab17,vladsuar,1-0,B50,Sicilian Defense
jab17,carlbc84,1-0,A80,Dutch Defense: Hopton Attack
douglasabreu,jab17,1-0,B53,Sicilian Defense: Chekhover Variation
jab17,ReifersonX-X,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Alan_Abreu,jab17,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation, Modern Line"
jab17,sputnik86,1-0,A00,Hungarian : Dutch Defense
jab17,askerick,1-0,A00,Hungarian : Symmetrical Variation
Cone0193,jab17,1-0,A43,Benoni Defense: Old Benoni
Alejandritok7vell,jab17,0-1,B01,Scandinavian Defense: Main Line
jab17,Stqmqancm,1-0,A00,Hungarian : Indian Defense
DutchMagician,jab17,1-0,A10,English
Smile_maker,jab17,1-0,D31,Queen's Gambit Declined: Queen's Knight Variation
jab17,VictorMx23,0-1,D00,Queen's Pawn Game: Mason Variation
jab17,Rouztaj,0-1,A00,Hungarian
Blackmen60,jab17,1-0,A40,Modern Defense
damir361,jab17,0-1,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
jab17,Quillotamaster,1-0,E32,Nimzo-Indian Defense: Classical Variation
AmazingChess202,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, Adams Attack"
jab17,Annomalist,0-1,D17,"Slav Defense: Czech Variation, Wiesbaden Variation"
jab17,DeanJager,1-0,D31,Queen's Gambit Declined: Charousek Variation
pachanga1991,jab17,1-0,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
ComoPiensaUnaTara-YT,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
jab17,ComoPiensaUnaTara-YT,1-0,A65,Benoni Defense: King's Pawn Line
GRANPROFEDUNCAN,jab17,0-1,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
MustMake,jab17,0-1,B52,"Sicilian Defense: Canal Attack, Main Line"
jab17,Kabaya,1-0,A56,Benoni Defense: Hromdka System
jab17,RACER844,1-0,D15,Slav Defense: Two Knights Attack
Clickhop,jab17,0-1,A45,Trompowsky Attack: Raptor Variation
jab17,abrok,1-0,D43,Semi-Slav Defense: Anti-Moscow Gambit
Oobscurus,jab17,1-0,B23,"Sicilian Defense: Closed, Traditional"
jab17,prkshn,1-0,A40,Queen's Pawn Game
KAG2020,jab17,1-0,A00,Hungarian : Slav Formation
BornTOattack,jab17,0-1,B33,Sicilian Defense: Open
jab17,Alf_Pacino,0-1,A00,Kdas
Yorkcctv,jab17,1-0,A00,Kdas
jab17,Alf_Pacino,1-0,A43,Benoni Defense: Old Benoni
Wasik93,jab17,0-1,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
bob_marley_alive,jab17,0-1,B23,Sicilian Defense: Closed
Neo-max,jab17,1-0,A45,Indian Defense
jab17,Basketball_Player,1-0,A43,Benoni Defense: Old Benoni
jab17,bangak,1-0,A40,Englund Gambit
jab17,ravanparish,1-0,A00,Hungarian : Symmetrical Variation
vivalarevolussionne,jab17,0-1,C11,"French Defense: Steinitz Variation, Boleslavsky Variation"
Jupiter-Nice77,jab17,0-1,B51,Sicilian Defense: Moscow Variation
jab17,RadovanPerkovic,1-0,A00,Hungarian
jab17,Rawand44,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
jab17,feelinggood08,0-1,D11,Slav Defense: Modern Line
jab17,douglasabreu,1-0,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
Wilsonpalencia,jab17,1-0,A46,Indian Defense: Wade-Tartakower Defense
jab17,jeffren10,1-0,B41,Sicilian Defense: Kan Variation
Wilsonpalencia,jab17,1-0,A46,"Queen's Pawn Game: Veresov Attack, Classical Defense"
jab17,jeffren10,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
Wilsonpalencia,jab17,0-1,D03,Queen's Pawn Game: Torre Attack
jab17,jeffren10,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Wilsonpalencia,jab17,1-0,A48,East Indian Defense
jab17,jeffren10,1-0,B02,Alekhine Defense
Wilsonpalencia,jab17,0-1,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
guadajg,jab17,0-1,B20,Sicilian Defense
jab17,jeffren10,1-0,E32,Nimzo-Indian Defense: Classical Variation
Wilsonpalencia,jab17,1-0,A46,Indian Defense: Spielmann-Indian
jab17,franblu,1-0,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
guadajg,jab17,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
jab17,Wilsonpalencia,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
sembarangan,jab17,0-1,A56,Benoni Defense
jab17,Vinvin,0-1,E38,"Nimzo-Indian Defense: Classical Variation, Berlin Variation"
Escudeyro,jab17,0-1,A30,English : Symmetrical Variation
jab17,Nymeria-Stark,1-0,D32,Tarrasch Defense: Two Knights Variation
Mulgor,jab17,1-0,A62,Benoni Defense: Fianchetto Variation
forbiddencheapos,jab17,1-0,B57,"Sicilian Defense: Sozin, not Scheveningen"
jab17,tthechesstitan,1-0,A40,Horwitz Defense
konlev,jab17,0-1,B23,"Sicilian Defense: Closed, Traditional"
jab17,jinxzzzzz,0-1,A40,Englund Gambit Complex: Felbecker Gambit
arborp,jab17,0-1,A02,Bird : From's Gambit
jab17,SIWAR2005,1-0,A40,Modern Defense
RacingChessLive,jab17,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation"
ERP_BKD,jab17,1-0,E61,King's Indian Defense
jab17,UdeMCedric,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
jab17,kapitanmarcel,1-0,A43,Benoni Defense: Old Benoni
jab17,sargon73,1-0,D45,Semi-Slav Defense: Main Line
Suloo,jab17,0-1,B20,Sicilian Defense: Staunton-Cochrane Variation
xretas,jab17,0-1,A00,Van Geet
