Blancas,Negras,Result,ECO,Opening
lacreogd,JankoKnezevic,1-0,B02,Alekhine Defense: Two Pawn Attack
JankoKnezevic,lacreogd,1-0,C00,French Defense: La Bourdonnais Variation
lacreogd,Milanello,0-1,B40,"Sicilian Defense: Alapin Variation, Sherzer Variation"
ThePlayer2000,lacreogd,0-1,A52,"Indian Defense: Budapest Defense, Adler Variation"
lacreogd,Polonus_60,1-0,B50,Sicilian Defense: Delayed Alapin
Dludluvn94,lacreogd,0-1,C00,French Defense: Knight Variation
Blitzmaster-JFS,lacreogd,1-0,C00,French Defense: King's Indian Attack
lacreogd,Paultnt,0-1,B01,Scandinavian Defense: Modern Variation
MOHAMMAD285,lacreogd,0-1,A02,Bird
Passionary1,lacreogd,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
lacreogd,Passionary1,1-0,B10,Caro-Kann Defense
lacreogd,gogo_58bg,0-1,B50,Sicilian Defense: Delayed Alapin
paulteule,lacreogd,0-1,C00,French Defense: Queen's Knight
lacreogd,futtersnacks,1-0,B30,Sicilian Defense: Old Sicilian
lacreogd,kzaganas,1-0,C41,Philidor Defense
all77,lacreogd,1-0,A52,"Indian Defense: Budapest Defense, Adler Variation"
chessbum89,lacreogd,1/2-1/2,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
grandluzer16,lacreogd,1-0,C00,French Defense: Pelikan Variation
lacreogd,litogulay123,0-1,B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit"
lacreogd,muddumuddu,1-0,B06,Modern Defense
kamelsai40,lacreogd,1-0,C02,French Defense: Advance Variation
lacreogd,poketero,0-1,B50,Sicilian Defense: Delayed Alapin
tomskiykedr,lacreogd,1-0,A52,"Indian Defense: Budapest Defense, Adler Variation"
lacreogd,Bayern_MTD,0-1,A00,Hungarian : Indian Defense
lacreogd,mrdibujante,0-1,C55,"Italian Game: Two Knights Defense, Max Lange Attack"
digitalengineer,lacreogd,1-0,E10,Indian Defense: Anti-Nimzo-Indian
fob1723,lacreogd,1/2-1/2,A46,Indian Defense: London System
Mbrbz,lacreogd,0-1,A46,Indian Defense: London System
lacreogd,BenFinegoldStannnn,1-0,C42,Russian Game
THECLAYMORE01,lacreogd,0-1,C00,French Defense: Pelikan Variation
Kinapjij,lacreogd,0-1,A15,English : Anglo-Indian Defense
lacreogd,Charlie87Baraca,0-1,C00,French Defense: Knight Variation
lacreogd,Cyclopropenylidene,0-1,B30,Sicilian Defense: Old Sicilian
master_tall,lacreogd,1-0,A52,"Indian Defense: Budapest Defense, Adler Variation"
lacreogd,disisdadrum,0-1,B50,Sicilian Defense: Delayed Alapin
lacreogd,Wellington1_2,1-0,B30,Sicilian Defense: Old Sicilian
udaykanike,lacreogd,1-0,C00,French Defense: Knight Variation
lacreogd,bobifisher1963-07-18,1-0,C55,Italian Game: Two Knights Defense
bobifisher1963-07-18,lacreogd,0-1,C00,French Defense
