Blancas,Negras,Result,ECO,Opening
mnmassari,ShaforostovDima228,0-1,A46,Indian Defense: Knights Variation
mnmassari,flash16,0-1,A40,Queen's Pawn Game: Anglo-Slav
ayeng1121,mnmassari,0-1,B95,Sicilian Defense: Najdorf Variation
mnmassari,Chicken_Parmesan,1-0,A37,"English : Symmetrical Variation, Two Knights Line"
mnmassari,celvic,1-0,A46,Indian Defense: Spielmann-Indian
mnmassari,ozbuyucu,1-0,E91,King's Indian Defense: Orthodox Variation
trembling-eyes,mnmassari,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
IvanMonkov,mnmassari,1-0,D11,Slav Defense: Quiet Variation
mnmassari,gusrang,1-0,D37,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense"
KarlRies,mnmassari,1-0,B50,Sicilian Defense: Delayed Alapin
Piper_Toman,mnmassari,0-1,B20,Sicilian Defense: Bowdler Attack
mnmassari,OmNamahaShivay,1-0,A46,Indian Defense: Knights Variation
mnmassari,Akbarov_BC,0-1,A43,Benoni Defense: Old Benoni
mnmassari,BerlinIsAJoke,1-0,A00,Mieses
Renatochess,mnmassari,1-0,C00,French Defense: Normal Variation
rado68399,mnmassari,1-0,D02,Queen's Pawn Game: Zukertort Variation
mnmassari,hamik,1-0,D11,"Slav Defense: Quiet Variation, Pin Defense"
mnmassari,futureinterests,1/2-1/2,B13,"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line"
elcomemonos,mnmassari,0-1,E80,King's Indian Defense: Smisch Variation
thepouet,mnmassari,0-1,A10,English
mnmassari,kanotzki,1/2-1/2,D13,Slav Defense: Exchange Variation
mnmassari,Graciella,1-0,D85,"Grnfeld Defense: Exchange Variation, Modern Exchange Variation"
hendrag,mnmassari,1-0,A34,"English : Symmetrical Variation, Normal Variation"
mnmassari,NaranjasMurcianas,1-0,D02,Queen's Pawn Game: Zukertort Variation
Fralle,mnmassari,1-0,E65,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation, Exchange Line"
mnmassari,ABIR_CHESS_V_10,1-0,A27,"English : King's English Variation, Three Knights System"
marekj,mnmassari,1-0,E80,King's Indian Defense: Smisch Variation
Hiils101,mnmassari,0-1,A00,Van't Kruijs
mnmassari,FCLnfL,0-1,D04,Queen's Pawn Game: Colle System
mnmassari,Gfunk,0-1,A30,English : Symmetrical Variation
capabla,mnmassari,0-1,A30,English : Symmetrical Variation
turkeychilli,mnmassari,0-1,B90,Sicilian Defense: Najdorf Variation
mnmassari,Muveak,0-1,E21,Nimzo-Indian Defense: Three Knights Variation
mnmassari,LeAnoos,0-1,D40,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation"
Marsch32,mnmassari,1-0,A30,English : Symmetrical Variation
Guendabianni,mnmassari,1-0,A04,Zukertort : Sicilian Invitation
mnmassari,diamondhands69,0-1,D37,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense"
SCHIAROV,mnmassari,0-1,D38,Queen's Gambit Declined: Ragozin Defense
mnmassari,DatWasntPoggersWasIt,1-0,D38,Queen's Gambit Declined: Ragozin Defense
m-hallawi71,mnmassari,1-0,C26,Vienna Game: Vienna Gambit
mnmassari,AnthonyPaolercio,1-0,A20,"English : King's English Variation, Nimzowitsch-Flohr Variation"
arapars,mnmassari,1-0,D06,Queen's Gambit Declined: Marshall Defense
mnmassari,LN55,1-0,A41,Queen's Pawn Game
Liolik27,mnmassari,1/2-1/2,B10,Caro-Kann Defense
mnmassari,joslam15,1-0,D43,Semi-Slav Defense
mnmassari,Mrextreme2_kk,1-0,D52,Queen's Gambit Declined: Cambridge Springs Defense
DamijanP,mnmassari,1-0,C41,Philidor Defense
mnmassari,masterbeast007,0-1,A48,East Indian Defense
arturo35,mnmassari,1-0,A00,Anderssen's
mnmassari,SOLANDR,1/2-1/2,D12,"Slav Defense: Quiet Variation, Schallopp Defense"
mnmassari,AB123456,1-0,D30,Queen's Gambit Declined
seawolf667,mnmassari,1-0,D00,Queen's Pawn Game: Mason Variation
mnmassari,HobbyKing,0-1,E11,Bogo-Indian Defense: Nimzowitsch Variation
elch005,mnmassari,1-0,D11,Slav Defense: Modern Line
mnmassari,Eipgo,0-1,D43,Semi-Slav Defense
MasterVimaranes,mnmassari,0-1,D10,Slav Defense: Exchange Variation
mnmassari,graupelwolf,0-1,A38,"English : Symmetrical Variation, Full Symmetry Line"
Tarlos89,mnmassari,0-1,D11,Slav Defense: Modern Line
aurvildu,mnmassari,0-1,A35,"English : Symmetrical Variation, Four Knights Variation"
mnmassari,Missing_Checkmate,1/2-1/2,A17,"English : Anglo-Indian Defense, Nimzo-English"
woja,mnmassari,0-1,A30,English : Symmetrical Variation
mnmassari,Klemuc,1-0,A48,East Indian Defense
mnmassari,Scualchess,1-0,A20,"English : King's English Variation, Nimzowitsch Variation"
anas_2022,mnmassari,0-1,A30,English : Symmetrical Variation
MahmoudHussein2500,mnmassari,1-0,A00,Van Geet
Aibolit_66,mnmassari,1-0,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
mnmassari,into64the64wild,1/2-1/2,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
mnmassari,Freakesque,1-0,A20,"English : King's English Variation, Nimzowitsch Variation"
Dewa_Blunder_123,mnmassari,0-1,B50,Sicilian Defense: Delayed Alapin
mnmassari,yymmdd,1-0,A31,"English : Symmetrical Variation, Anti-Benoni Variation"
Stalin57,mnmassari,0-1,B00,Pirc Defense
Lu4ik,mnmassari,0-1,B21,Sicilian Defense: McDonnell Attack
mnmassari,luizvalim,1-0,D04,Queen's Pawn Game: Colle System
Igorstrannik,mnmassari,0-1,B20,Sicilian Defense: Bowdler Attack
luizvalim,mnmassari,1-0,B90,"Sicilian Defense: Najdorf Variation, Adams Attack"
mnmassari,nissugran,1-0,D85,"Grnfeld Defense: Exchange Variation, Modern Exchange Variation"
