Blancas,Negras,Result,ECO,Opening
MAESTRO1974,Gutes,0-1,C41,Philidor Defense
Toledanoribaroja,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,wadie2002,0-1,C50,Italian Game: Giuoco Pianissimo
Alfredo2482,MAESTRO1974,0-1,A45,Trompowsky Attack
MAESTRO1974,Orguim,1/2-1/2,B20,Sicilian Defense: Bowdler Attack
E3-ED-81-D2,MAESTRO1974,0-1,C61,Ruy Lopez: Bird Variation
MAESTRO1974,yenar64,0-1,C50,Italian Game: Giuoco Pianissimo
sella,MAESTRO1974,0-1,C34,King's Gambit Accepted: MacLeod Defense
MAESTRO1974,Schnarchi,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
MAESTRO1974,alfilnegro-c,1-0,C50,Italian Game: Hungarian Defense
trivial_pursuit,MAESTRO1974,1-0,C34,King's Gambit Accepted: Fischer Defense
MAESTRO1974,FabrizioMoreira,1-0,B32,Sicilian Defense: Accelerated Dragon
orolf971,MAESTRO1974,1-0,A04,Zukertort
MAESTRO1974,proninov,1-0,-1,-1
China12_BA,MAESTRO1974,0-1,-1,-1
Ribochok,MAESTRO1974,1-0,D03,Queen's Pawn Game: Torre Attack
bekson2,MAESTRO1974,0-1,C50,"Italian Game: Giuoco Pianissimo, Normal"
aladino,MAESTRO1974,1-0,A45,Trompowsky Attack
MAESTRO1974,maxkoshak74,0-1,-1,-1
AXSRichard,MAESTRO1974,1-0,-1,-1
MAESTRO1974,Juancho1o,0-1,C41,Philidor Defense
trivial_pursuit,MAESTRO1974,1-0,C36,King's Gambit Accepted: Modern Defense
MAESTRO1974,danieljose1311,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
MAESTRO1974,Balrot,0-1,C64,Ruy Lopez: Classical Variation
drrd13,MAESTRO1974,1-0,D02,Queen's Pawn Game: London System
Volk1802,MAESTRO1974,1-0,A40,Queen's Pawn Game
MAESTRO1974,ollieconway,0-1,C50,Italian Game: Giuoco Pianissimo
vovchik_213,MAESTRO1974,0-1,A45,Indian Defense
warriorbest,MAESTRO1974,1-0,-1,-1
manuranga,MAESTRO1974,0-1,-1,-1
MAESTRO1974,swarajc72,1-0,-1,-1
grzecho1928,MAESTRO1974,1-0,-1,-1
MAESTRO1974,fAbRi02,1-0,-1,-1
MAESTRO1974,net9lev,0-1,-1,-1
MAESTRO1974,Fer_Natalia,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
Resurr3ction,MAESTRO1974,1-0,C45,Scotch Game: Potter Variation
MAESTRO1974,Alberto2223,0-1,-1,-1
ggGian06,MAESTRO1974,1-0,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
MAESTRO1974,Ailtonnave1,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation"
Valentinodon,MAESTRO1974,0-1,-1,-1
pancakebake,MAESTRO1974,1-0,B00,King's Pawn
MAESTRO1974,Sid_The_Boss,1-0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
MAESTRO1974,dolphindreamer,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
PraetorianG87,MAESTRO1974,1-0,A20,English : King's English Variation
Rao_14,MAESTRO1974,0-1,A00,Kdas
MAESTRO1974,galantfr,0-1,-1,-1
MAESTRO1974,ramdani77,0-1,B01,Scandinavian Defense
pawchess,MAESTRO1974,0-1,C62,Ruy Lopez: Steinitz Defense
MAESTRO1974,suryasyam,1-0,B00,Borg Defense
jucat,MAESTRO1974,1-0,C42,Russian Game
rojak-09,MAESTRO1974,1-0,C34,King's Gambit Accepted: MacLeod Defense
MAESTRO1974,CosmosJarvee,1-0,B32,Sicilian Defense: Open
FreemanSB,MAESTRO1974,1-0,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
MAESTRO1974,Ivan_85,1-0,B00,Pirc Defense
tmorus1516,MAESTRO1974,1-0,A07,King's Indian Attack
omerbekirov_2021,MAESTRO1974,1-0,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
MAESTRO1974,sudhhajanair,1-0,C41,Philidor Defense
MAESTRO1974,Manuel_Brito,0-1,C50,Italian Game
larrychess89,MAESTRO1974,0-1,B00,Nimzowitsch Defense
MAESTRO1974,ThePrestigeV,1-0,C40,Latvian Gambit: Mayet Attack
MAESTRO1974,laanto85,0-1,-1,-1
MAESTRO1974,Vld608,0-1,C41,Philidor Defense
eness1903,MAESTRO1974,0-1,A45,Queen's Pawn Game: Chigorin Variation
MAESTRO1974,Alexis62ellatigo,0-1,B12,Caro-Kann Defense: Ulysses Gambit
vaeh88,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,Chris209,0-1,C41,Philidor Defense: Lopez Countergambit
jorgegustavo2014,MAESTRO1974,0-1,C55,Italian Game: Two Knights Defense
MAESTRO1974,umitdrsn,1-0,B01,Scandinavian Defense
DenissWine,MAESTRO1974,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal"
MAESTRO1974,King_Sigma,0-1,C50,Italian Game: Anti-Fried Liver Defense
King_Cezar,MAESTRO1974,0-1,C20,King's Pawn Game: Napoleon Attack
JusTyr,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,taparillo,0-1,C02,French Defense: Advance Variation
MAESTRO1974,firstsecond2,0-1,C00,French Defense: Knight Variation
magikero,MAESTRO1974,0-1,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
MAESTRO1974,Napoleronn,0-1,B01,Scandinavian Defense
waldirocha,MAESTRO1974,0-1,B00,Nimzowitsch Defense
MAESTRO1974,PACOL,0-1,C00,French Defense: Knight Variation
MAESTRO1974,Ellie113,0-1,B20,Sicilian Defense: Bowdler Attack
danipou,MAESTRO1974,1-0,D00,Queen's Pawn Game: Mason Variation
Willieandchi,MAESTRO1974,1-0,A51,Indian Defense: Budapest Defense
MAESTRO1974,King70802019,1-0,C41,Philidor Defense
MAESTRO1974,jsleao,0-1,-1,-1
Papa-Karlo,MAESTRO1974,1-0,C34,King's Gambit Accepted: MacLeod Defense
MAESTRO1974,abdalkader99,1-0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
Paladdin,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,Kraai30,1-0,C44,"Scotch Game: Scotch Gambit, Dubois Rti Defense"
OSOFZX,MAESTRO1974,0-1,C23,Bishop's
fanta1951,MAESTRO1974,1-0,C62,Ruy Lopez: Steinitz Defense
MAESTRO1974,bonny8,1-0,C00,French Defense: Knight Variation
Skorkmaz48,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
Moh90mad,MAESTRO1974,0-1,C50,Blackburne Shilling Gambit
MAESTRO1974,Caractere,1-0,B10,Caro-Kann Defense
MAESTRO1974,GabrielPires,0-1,B32,Sicilian Defense: Open
MAESTRO1974,delintiq,1-0,C50,Italian Game
ZurzMansor,MAESTRO1974,0-1,C45,Scotch Game: Classical Variation
MAESTRO1974,WSchiefele,1-0,B27,Sicilian Defense: Katalimov Variation
MAESTRO1974,BlueHumming,0-1,B00,Pirc Defense: Roscher Gambit
saghub,MAESTRO1974,0-1,C20,King's Pawn Game: Mengarini's
smorris,MAESTRO1974,0-1,C62,Ruy Lopez: Steinitz Defense
MAESTRO1974,paco01,1-0,B00,St. George Defense
OldFogey,MAESTRO1974,0-1,A45,Indian Defense
MAESTRO1974,Ximalon,1-0,C41,Philidor Defense
MAESTRO1974,nageshgp,1-0,C41,Philidor Defense
MAESTRO1974,barradass,0-1,B01,Scandinavian Defense
MAESTRO1974,kchurch4,0-1,B40,Sicilian Defense: Wing Gambit Deferred
Sportpsycho,MAESTRO1974,1-0,C45,Scotch Game
Miguel_Ciutad,MAESTRO1974,1-0,A45,Indian Defense
MNRosas1971,MAESTRO1974,1-0,B00,King's Pawn
MAESTRO1974,zenenmaria,0-1,B28,"Sicilian Defense: O'Kelly Variation, Normal System"
MAESTRO1974,Josse10manuel,1-0,C23,Bishop's : Boi Variation
MAESTRO1974,Lazarus_159,1-0,C23,Bishop's
ch_RENATOrc2011,MAESTRO1974,0-1,C23,Bishop's : Khan Gambit
MAESTRO1974,MarioMo,0-1,-1,-1
moose12345678,MAESTRO1974,1-0,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line"
MAESTRO1974,Alice14,1-0,B30,Sicilian Defense: Old Sicilian
ajedrezaqp,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,vahdatbazi,0-1,A00,Van't Kruijs
alirafid_ak,MAESTRO1974,1-0,C45,Scotch Game
MAESTRO1974,hani3aeel,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation"
MAESTRO1974,AlexeyShiman291054,0-1,B10,Caro-Kann Defense
MAESTRO1974,MarioMo,0-1,-1,-1
Mikaelolle,MAESTRO1974,1-0,C62,Ruy Lopez: Steinitz Defense
Abonuhi,MAESTRO1974,1-0,-1,-1
MAESTRO1974,nicobabla,1-0,-1,-1
Kikuxtah,MAESTRO1974,1-0,-1,-1
MAESTRO1974,MianSanBus15,0-1,-1,-1
leninkmacho,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,AlBarlo,1-0,B32,Sicilian Defense: Lwenthal Variation
PabloDangelo,MAESTRO1974,1-0,A02,Bird
MAESTRO1974,ismael87,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
Ch_Oker_Nomad_225,MAESTRO1974,0-1,C33,King's Gambit Accepted: Polerio Gambit
MAESTRO1974,Franciscoschlecther,1-0,C02,"French Defense: Advance Variation, Nimzowitsch System"
musmaus,MAESTRO1974,1-0,D20,Queen's Gambit Accepted: Old Variation
GOUTAM2020,MAESTRO1974,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
BARKLY2087,MAESTRO1974,0-1,A04,Zukertort : Black Mustang Defense
ZeyaTsu,MAESTRO1974,0-1,A04,Zukertort : Black Mustang Defense
Saroshhh,MAESTRO1974,0-1,A00,Hungarian
MAESTRO1974,marvinbueno,0-1,-1,-1
Matex1,MAESTRO1974,0-1,-1,-1
Will111311,MAESTRO1974,1-0,C44,Scotch Game: Haxo Gambit
MAESTRO1974,ALEJIN,0-1,C50,Italian Game: Giuoco Pianissimo
MAESTRO1974,willygalleta,1-0,B00,King's Pawn
Matex1,MAESTRO1974,1-0,A40,Queen's Pawn Game
MAESTRO1974,nargesdaramad,0-1,C42,Russian Game: Italian Variation
Angel_Nieto,MAESTRO1974,1-0,A20,English : King's English Variation
Karpovmex,MAESTRO1974,0-1,C11,French Defense: Burn Variation
