Blancas,Negras,Result,ECO,Opening
gonzalotorres,carlbc84,1/2-1/2,C53,Italian Game: Classical Variation
seanyy18,carlbc84,1-0,A52,"Indian Defense: Budapest Defense, Alekhine Variation, Tartakower Defense"
carlbc84,HasanZarka,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
carlbc84,SkipperThePenguin123,0-1,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
zarph,carlbc84,1-0,A46,Indian Defense: London System
carlbc84,sam-sharifi,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
SwankyGoat,carlbc84,1-0,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
Ozzz1,carlbc84,1-0,C50,Giuoco Piano
carlbc84,leondorado,1-0,B73,"Sicilian Defense: Dragon Variation, Classical Variation, Battery Variation"
carlbc84,dalishenke,0-1,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
carlbc84,Akbar1354,1-0,B08,"Pirc Defense: Classical Variation, Schlechter Variation"
VXPX17,carlbc84,0-1,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Main Line"
zaroog511,carlbc84,1-0,C38,King's Gambit Accepted: Traditional Variation
carlbc84,allgunsblazing,1/2-1/2,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
carlbc84,W1619,0-1,C50,Four Knights Game: Italian Variation
RSA12345,carlbc84,1/2-1/2,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
Gati,carlbc84,0-1,A00,Hungarian : Indian Defense
carlbc84,pmogilevski,1-0,A03,Bird : Dutch Variation
carlbc84,Jubble2,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
allgunsblazing,carlbc84,0-1,A22,English : Carls-Bremen System
carlbc84,qwider,0-1,B08,Pirc Defense: Classical Variation
pollochessagian,carlbc84,1-0,A05,Zukertort
nirkh,carlbc84,1-0,A45,Paleface Attack
carlbc84,Der_Emperor,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
carlbc84,THANOS4202,0-1,B01,Scandinavian Defense
carlbc84,Fchta99,1-0,B40,Sicilian Defense: Four Knights Variation
sessiz28,carlbc84,1-0,A52,"Indian Defense: Budapest Defense, Adler Variation"
deepshah4343,carlbc84,1-0,C50,Giuoco Piano
carlbc84,Yogamanigandaprabhu,1-0,C50,Four Knights Game: Italian Variation
Minkee,carlbc84,1-0,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
allangarcia2021,carlbc84,1-0,C64,"Ruy Lopez: Classical Variation, Central Variation"
carlbc84,Chessbilout,1-0,B07,Pirc Defense
pcanelon,carlbc84,1-0,C22,Center Game: Paulsen Attack Variation
Rbracht,carlbc84,0-1,C25,Vienna Game: Anderssen Defense
carlbc84,Haleem_hussein5,0-1,B02,Alekhine Defense: Scandinavian Variation
carlbc84,Wesley_xadrez,1/2-1/2,C46,Three Knights
Rodolfo31,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
carlbc84,phalsbourg,1-0,C00,French Defense: Knight Variation
urz57,carlbc84,1/2-1/2,A52,Indian Defense: Budapest Defense
carlbc84,DEAN1956PORTSAID,1-0,B28,"Sicilian Defense: O'Kelly Variation, Yerevan System"
Bogdan6319,carlbc84,1-0,C22,Center Game: Paulsen Attack Variation
carlbc84,Novneet,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Tihontomsk,carlbc84,0-1,A46,Indian Defense: London System
carlbc84,CyberButcher,1/2-1/2,B02,Alekhine Defense: Scandinavian Variation
Tarek9,carlbc84,0-1,C50,Four Knights Game: Italian Variation
StoicalKing,carlbc84,0-1,A80,Dutch Defense
carlbc84,Dedi2483,0-1,C41,Philidor Defense
carlbc84,DeadWin,1/2-1/2,B01,Scandinavian Defense: Modern Variation
carlbc84,jorge_anez,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
DeniSpartak,carlbc84,0-1,A45,Indian Defense
sasha20051907,carlbc84,1-0,E12,Queen's Indian Defense: Kasparov Variation
carlbc84,Aqay,0-1,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Nazeri1234,carlbc84,0-1,C50,Giuoco Piano
Supernezh71,carlbc84,1-0,C25,Vienna Game: Anderssen Defense
carlbc84,Welington86,1-0,B30,Sicilian Defense: Old Sicilian
carlbc84,fleshwashed,1/2-1/2,C47,Four Knights Game: Scotch Variation Accepted
carlbc84,jacimarrodrigues,1-0,C46,Three Knights
LucasGer2020,carlbc84,1-0,C53,Italian Game: Classical Variation
ankorkor,carlbc84,1-0,A50,Indian Defense: Normal Variation
carlbc84,ladunka,1-0,C45,Scotch Game: Classical Variation
carlbc84,Crybaby58,0-1,C47,Four Knights Game: Scotch Variation Accepted
Sotoca,carlbc84,0-1,E15,"Queen's Indian Defense: Fianchetto Variation, Smisch Variation"
Bat_Mihalev,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
Labestiahumana,carlbc84,1/2-1/2,A46,Indian Defense: London System
carlbc84,dobbo,0-1,B30,Sicilian Defense: Old Sicilian
carlbc84,Jorjero,0-1,B73,"Sicilian Defense: Dragon Variation, Classical Variation"
carlbc84,VSmyslov1979,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
UzayliH,carlbc84,1-0,A45,Trompowsky Attack: Classical Defense
Mesbah2021,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
EsopoSoy,carlbc84,0-1,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
carlbc84,Ira1122,0-1,C42,Russian Game
carlbc84,antoniov64,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
Dolmatov_Vladimir,carlbc84,1-0,C52,"Italian Game: Evans Gambit, Pierce Defense"
ragavan81,carlbc84,1-0,A02,Bird
carlbc84,H3nryCapanegra,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
carlbc84,ramiro2,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
FIGHTER1906,carlbc84,0-1,A46,Indian Defense: London System
carlbc84,daji1006,1-0,B27,Sicilian Defense: Hyperaccelerated Pterodactyl
RPerez32,carlbc84,0-1,C64,"Ruy Lopez: Classical Variation, Central Variation"
Ahmmadfroh,carlbc84,1-0,A50,Queen's Indian Accelerated
Isegrim-52,carlbc84,1-0,A46,Yusupov-Rubinstein System
carlbc84,Bishop_Half,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
carlbc84,sale91,1-0,B10,Caro-Kann Defense: Two Knights Attack
nikhalkias76,carlbc84,1-0,A52,Indian Defense: Budapest Defense
carlbc84,wadim001,1-0,C50,Italian Game
carlbc84,Spain_Chess,0-1,B01,Scandinavian Defense: Modern Variation
kevinmb01,carlbc84,0-1,C51,"Italian Game: Evans Gambit, McDonnell Defense, Main Line"
Waurp,carlbc84,0-1,A46,Indian Defense: Knights Variation
illessandor,carlbc84,1-0,C45,Scotch Game: Classical Variation
carlbc84,kalehtosal,1/2-1/2,C50,Italian Game: Hungarian Defense
carlbc84,brakinggnus,1-0,C47,Four Knights Game: Scotch Variation Accepted
Don_Taurus,carlbc84,0-1,C52,"Italian Game: Evans Gambit, Main Line"
carlbc84,Mohameddarwich,1-0,B00,Owen Defense
ayoubsaadaoui,carlbc84,1-0,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
carlbc84,Josimar123,1/2-1/2,B44,Sicilian Defense: Taimanov Variation
carlbc84,TheAbSystem,1/2-1/2,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Jesus1999GM,carlbc84,0-1,C21,Danish Gambit
carlbc84,Jesus1999GM,0-1,B56,Sicilian Defense: Classical Variation
Jesus1999GM,carlbc84,0-1,C64,"Ruy Lopez: Classical Variation, Central Variation"
carlbc84,Jesus1999GM,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
Jesus1999GM,carlbc84,0-1,C64,Ruy Lopez: Classical Variation
mram73,carlbc84,1-0,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
carlbc84,Spelbreker,1/2-1/2,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
PajaroRebelde,carlbc84,1-0,C50,Giuoco Piano
carlbc84,Abu_fatma6,0-1,B30,Sicilian Defense: Old Sicilian
AleksBuk,carlbc84,0-1,C40,King's Pawn Game: Gunderam Gambit
matedani,carlbc84,0-1,A51,Indian Defense: Budapest Defense
carlbc84,llamadust,0-1,B10,Caro-Kann Defense: Two Knights Attack
naderhegazy,carlbc84,1-0,C44,Scotch Game: Benima Defense
carlbc84,Cbx_skinnyfighter,1-0,B01,Scandinavian Defense: Main Line
carlbc84,guadajg,0-1,B80,Sicilian Defense: Scheveningen Variation
carlbc84,Gova479,0-1,B00,Pirc Defense
Jesus1999GM,carlbc84,1-0,C46,Three Knights
DrPennywise,carlbc84,0-1,C50,Italian Game: Giuoco Pianissimo
carlbc84,mherize,1-0,B32,Sicilian Defense: Lwenthal Variation
Gova479,carlbc84,0-1,E10,Indian Defense: Anti-Nimzo-Indian
carlbc84,Jesus1999GM,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
carlbc84,Gova479,0-1,B08,"Pirc Defense: Classical Variation, Quiet System"
Jaivismar123,carlbc84,0-1,A46,Indian Defense: Knights Variation
carlbc84,mherize,0-1,B32,Sicilian Defense: Lwenthal Variation
Romg12,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
carlbc84,Jaivismar123,1-0,C46,Three Knights
Romg12,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
Dmitrymints,carlbc84,1-0,C64,"Ruy Lopez: Classical Variation, Central Variation"
carlbc84,Kubu_1,1-0,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
carlbc84,Venado_Bleu,0-1,A06,Zukertort : Tennison Gambit
figcstv,carlbc84,0-1,A05,Zukertort
carlbc84,Nb1,0-1,B27,Sicilian Defense: Hyperaccelerated Dragon
ramin1995,carlbc84,0-1,A45,Indian Defense
faustopuntier,carlbc84,1/2-1/2,C64,"Ruy Lopez: Classical Variation, Central Variation"
carlbc84,laventurier,1/2-1/2,B27,Sicilian Defense: Hyperaccelerated Dragon
carlbc84,simojaron,0-1,B29,"Sicilian Defense: Nimzowitsch Variation, Closed Variation"
Chuks_007,carlbc84,0-1,C50,Giuoco Piano
ahmthll,carlbc84,0-1,C45,Scotch Game: Classical Variation
carlbc84,moTay57,0-1,B50,Sicilian Defense: Modern Variations
JohelParra,carlbc84,1/2-1/2,C64,Ruy Lopez: Classical Variation
carlbc84,Romaniusiusus,1-0,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
carlbc84,SleepyRhino,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
PiJeLo,carlbc84,0-1,E12,Queen's Indian Defense: Kasparov Variation
Anjonevi,carlbc84,1/2-1/2,A45,Indian Defense
carlbc84,jeffren10,1/2-1/2,B00,Owen Defense
douglasabreu,carlbc84,0-1,C53,Italian Game: Classical Variation
carlbc84,jeffren10,1-0,B00,Owen Defense
vladsuar,carlbc84,1-0,A45,Indian Defense
mherize,carlbc84,1/2-1/2,C64,Ruy Lopez: Classical Variation
carlbc84,vladsuar,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
carlbc84,Alan_Abreu,1-0,C47,Four Knights Game: Scotch Variation Accepted
douglasabreu,carlbc84,1-0,C51,Italian Game: Evans Gambit
carlbc84,guadajg,1/2-1/2,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
carlbc84,Williams_Abreu78,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Abrilnathaly,carlbc84,0-1,C52,"Italian Game: Evans Gambit, Pierce Defense"
carlbc84,guadajg,1-0,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
carlbc84,NHOOK,0-1,B01,Scandinavian Defense: Modern Variation
carlbc84,Ambert,1/2-1/2,B17,"Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack"
zeytin57,carlbc84,0-1,A52,Indian Defense: Budapest Defense
ArtemNov,carlbc84,0-1,C51,"Italian Game: Evans Gambit, McDonnell Defense, Main Line"
carlbc84,Mang_Rico,0-1,B01,Scandinavian Defense: Modern Variation
carinawi,carlbc84,1-0,C50,Giuoco Piano
carlbc84,Tempo65,0-1,C47,Four Knights Game: Scotch Variation Accepted
Mascherl_1,carlbc84,0-1,A46,Indian Defense: London System
