Blancas,Negras,Result,ECO,Opening
gilaryaraujo12,johnnyboi27,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Zeraddar,gilaryaraujo12,1-0,C40,Elephant Gambit: Paulsen Countergambit
mohamedkhaledalgohar,gilaryaraujo12,1-0,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,cmnd41,0-1,C44,"Scotch Game: Scotch Gambit, Sarratt Variation"
cmnd41,gilaryaraujo12,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
VonAdam,gilaryaraujo12,1-0,C42,Russian Game
galassigoacomo,gilaryaraujo12,1-0,C43,Russian Game: Modern Attack
tzha,gilaryaraujo12,1/2-1/2,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,Oleg48,1-0,B50,Sicilian Defense
gilaryaraujo12,QuintusScaevola,1-0,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Muesli68,gilaryaraujo12,1-0,C57,"Italian Game: Two Knights Defense, Lolli Attack"
gilaryaraujo12,sadcabbage,1-0,C21,Center Game: Kieseritzky Variation
madhavc1,gilaryaraujo12,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
gilaryaraujo12,songming1,1/2-1/2,C44,"Scotch Game: Scotch Gambit, Sarratt Variation"
samash,gilaryaraujo12,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
himanshu31,gilaryaraujo12,1-0,C42,Russian Game: French Attack
gilaryaraujo12,Pfussel,0-1,B13,Caro-Kann Defense: Exchange Variation
gilaryaraujo12,Bain321,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
png312,gilaryaraujo12,1-0,C26,Vienna Game: Vienna Gambit
gilaryaraujo12,Pecodais,0-1,C44,Scotch Game: Benima Defense
tommybahamiii,gilaryaraujo12,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
gilaryaraujo12,Holzknopfleiste,0-1,C00,French Defense: Normal Variation
gilaryaraujo12,sequelon,0-1,C44,Scotch Game: Scotch Gambit
threeP15,gilaryaraujo12,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
rikiote,gilaryaraujo12,1-0,C21,Danish Gambit
gilaryaraujo12,itsmehello05,0-1,C44,Scotch Game
gilaryaraujo12,Nicol4s_Santiago,1/2-1/2,C41,Philidor Defense: Morphy Gambit
mpetrlik,gilaryaraujo12,0-1,C34,King's Gambit Accepted: MacLeod Defense
gilaryaraujo12,mpetrlik,0-1,C43,Russian Game: Modern Attack
marcello220262,gilaryaraujo12,0-1,D00,Blackmar-Diemer Gambit: Zeller Defense
Gurupadhy,gilaryaraujo12,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
gilaryaraujo12,Gurupadhy,0-1,C21,Center Game: Kieseritzky Variation
yoni250787,gilaryaraujo12,1-0,C42,"Russian Game: Classical Attack, Marshall Variation"
dilanbiol,gilaryaraujo12,0-1,A01,Nimzo-Larsen Attack: Classical Variation
Igrok55555,gilaryaraujo12,1-0,A06,Zukertort : Tennison Gambit
gilaryaraujo12,livinrich,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Aurumhomo,gilaryaraujo12,0-1,C42,Russian Game
gilaryaraujo12,i_tomilov,1-0,B30,Sicilian Defense: Old Sicilian
neurasteniczny,gilaryaraujo12,1-0,D02,Queen's Pawn Game: Zukertort Variation
dsalhen,gilaryaraujo12,0-1,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,XderSef,0-1,C42,Russian Game: Stafford Gambit
Amsat,gilaryaraujo12,1-0,C40,King's Pawn Game: Damiano Defense
Lopez527,gilaryaraujo12,1-0,C42,"Russian Game: Cochrane Gambit, Bishop Check Line"
gilaryaraujo12,Lopez527,1-0,B33,Sicilian Defense: Open
actovia973,gilaryaraujo12,0-1,C47,Four Knights Game: Scotch Variation Accepted
gilaryaraujo12,mohammad7777,1-0,C44,Scotch Game
gilaryaraujo12,StArne,1-0,B50,Sicilian Defense
faith777,gilaryaraujo12,1-0,C21,Danish Gambit Accepted
kkkozuch,gilaryaraujo12,1-0,C26,Vienna Game: Vienna Gambit
Pepo_Saurio,gilaryaraujo12,1-0,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,runeasy,0-1,B13,Caro-Kann Defense: Exchange Variation
JoaopedroR,gilaryaraujo12,0-1,C42,Russian Game: Cozio Attack
gilaryaraujo12,john-bishop,0-1,C45,Scotch Game: Classical Variation
meddil,gilaryaraujo12,1-0,C47,Four Knights Game
gilaryaraujo12,meddil,0-1,B00,Duras Gambit
meddil,gilaryaraujo12,0-1,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,meddil,1-0,B02,Alekhine Defense
alejandro_jativa,gilaryaraujo12,1-0,C45,Scotch Game
alejandro_jativa,gilaryaraujo12,0-1,C45,Scotch Game
gilaryaraujo12,TPBeyonder,0-1,B40,Sicilian Defense: Pin Variation
PlizNoBully,gilaryaraujo12,1-0,D00,Queen's Pawn Game: Mason Variation
gilaryaraujo12,ataguns,0-1,C42,Russian Game
Abod988,gilaryaraujo12,1/2-1/2,C42,Russian Game
yomomma,gilaryaraujo12,1-0,C42,Russian Game: French Attack
gilaryaraujo12,sandy1999,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
RookieV,gilaryaraujo12,0-1,D02,Queen's Pawn Game: Zukertort Variation
gilaryaraujo12,bagoeswm,0-1,B40,Sicilian Defense: Paulsen-Basman Defense
mehdi_ad24,gilaryaraujo12,0-1,C42,Russian Game: Italian Variation
gilaryaraujo12,alejandro_jativa,1-0,C01,French Defense: Exchange Variation
alejandro_jativa,gilaryaraujo12,1-0,C45,Scotch Game
gilaryaraujo12,alejandro_jativa,1-0,C01,French Defense: Exchange Variation
gilaryaraujo12,Biernot,1-0,C41,Philidor Defense: Exchange Variation
gilaryaraujo12,adesulaeman,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
phoenix4717,gilaryaraujo12,0-1,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
gilaryaraujo12,chiz196,1-0,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
PepaDeMelon,gilaryaraujo12,1-0,C20,King's Pawn Game: Leonardis Variation
gilaryaraujo12,darkknight2025,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
zviomaster-nini,gilaryaraujo12,0-1,C20,King's Pawn Game: Leonardis Variation
Bychkov,gilaryaraujo12,0-1,D30,Queen's Gambit Declined
gilaryaraujo12,Agasthya_L,0-1,B50,Sicilian Defense
gilaryaraujo12,elshan1986,0-1,C01,French Defense: Exchange Variation
nickthetalldude,gilaryaraujo12,1/2-1/2,C34,King's Gambit Accepted: MacLeod Defense
gilaryaraujo12,RandhawaIP,1-0,C00,Rat Defense: Small Center Defense
balu22,gilaryaraujo12,0-1,C43,Russian Game: Modern Attack
pepito2103,gilaryaraujo12,0-1,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
gilaryaraujo12,BAS87,0-1,C44,Scotch Game
gilaryaraujo12,olive66,1-0,C45,Scotch Game: Classical Variation
Polako83,gilaryaraujo12,0-1,C21,Center Game: von der Lasa Gambit
gilaryaraujo12,cabri007,0-1,-1,-1
gilaryaraujo12,Alan_Abreu,0-1,-1,-1
gilaryaraujo12,douglasabreu,0-1,C45,Scotch Game: Steinitz Variation
cjop1,gilaryaraujo12,1-0,C47,Four Knights Game: Scotch Variation Accepted
cabri007,gilaryaraujo12,1-0,C20,King's Pawn Game: King's Head
gilaryaraujo12,mherize,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation"
gilaryaraujo12,Alan_Abreu,0-1,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
douglasabreu,gilaryaraujo12,1-0,C44,Scotch Game: Haxo Gambit
oscarhernadez,gilaryaraujo12,1-0,D02,Queen's Pawn Game: Zukertort Variation
gilaryaraujo12,vladsuar,0-1,B06,Modern Defense
jacksilany,gilaryaraujo12,1-0,C42,"Russian Game: Classical Attack, Marshall Variation"
vladsuar,gilaryaraujo12,0-1,D00,Queen's Pawn Game: Mason Variation
gilaryaraujo12,mherize,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation"
gilaryaraujo12,cabri007,1-0,B40,Sicilian Defense: Pin Variation
jacksilany,gilaryaraujo12,0-1,-1,-1
jacksilany,gilaryaraujo12,0-1,C42,"Russian Game: Classical Attack, Marshall Variation"
guadajg,gilaryaraujo12,1-0,C20,King's Pawn Game: Leonardis Variation
gilaryaraujo12,samuel22bastidas,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
jeffren10,gilaryaraujo12,1-0,C55,Italian Game: Two Knights Defense
