Blancas,Negras,Result,ECO,Opening
ComoPiensaUnaTara-YT,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,jeffren10,0-1,B06,Modern Defense
DanielBarreto,Cacho22,1-0,A04,Zukertort : Pirc Invitation
Cacho22,jacksilany,1-0,B00,King's Pawn
DanielBarreto,Cacho22,1-0,A04,Zukertort : Slav Invitation
Cacho22,jacksilany,0-1,C55,Italian Game: Two Knights Defense
DanielBarreto,Cacho22,1-0,A04,Zukertort : Slav Invitation
cjop2,Cacho22,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Cacho22,jeffren10,0-1,B06,Modern Defense
samuel22bastidas,Cacho22,0-1,A45,Indian Defense
DanielBarreto,Cacho22,0-1,A04,Zukertort : Sicilian Invitation
Cacho22,guadajg,1-0,B20,Sicilian Defense
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Cacho22,samuel22bastidas,0-1,B30,Sicilian Defense: Old Sicilian
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Cacho22,jacksilany,1-0,C50,"Italian Game: Classical Variation, Albin Gambit"
samuel22bastidas,Cacho22,1-0,A45,Indian Defense
jacksilany,Cacho22,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,jeffren10,1-0,B40,Sicilian Defense: Delayed Alapin Variation
guadajg,Cacho22,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,jacksilany,1-0,C50,"Italian Game: Classical Variation, Albin Gambit"
jeffren10,Cacho22,0-1,B23,Sicilian Defense: Closed
