Blancas,Negras,Result,ECO,Opening
cabri007,facundin,1-0,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
facundin,cabri007,0-1,B50,Sicilian Defense: Modern Variations
cabri007,facundin,1/2-1/2,C30,King's Gambit Declined: Queen's Knight Defense
cabri007,r2d2killah,0-1,B01,Scandinavian Defense: Modern Variation
Alekhine_Dracula,cabri007,0-1,A04,Zukertort : Sicilian Invitation
cabri007,Experimentator1,0-1,A40,Queen's Pawn Game: Anglo-Slav
cabri007,Shah-gulyi,1/2-1/2,C00,French Defense: Two Knights Variation
cabri007,zsoltcseszlai,1-0,B06,Modern Defense: Three Pawns Attack
cabri007,Tarjan01,0-1,B33,Sicilian Defense: Open
Tarjan01,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,Tarjan01,0-1,B50,"Sicilian Defense: Modern Variations, Tartakower"
Tarjan01,cabri007,0-1,C01,French Defense: Exchange Variation
cabri007,Tarjan01,0-1,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line"
Tarjan01,cabri007,1-0,C01,French Defense: Exchange Variation
cabri007,Ieander,1-0,B01,Scandinavian Defense
jxxvydjskKBSVSHZIS,cabri007,0-1,C00,French Defense: Knight Variation
Jesusatm,cabri007,0-1,C01,French Defense: Exchange Variation
cabri007,Rodrigo33al,1-0,B41,Sicilian Defense: Kan Variation
JavyM,cabri007,1-0,C02,"French Defense: Advance Variation, Main Line"
cabri007,foa1976,0-1,E76,King's Indian Defense: Four Pawns Attack
horaciocudos,cabri007,1-0,A40,Horwitz Defense
cabri007,ProsenjitDhali,1-0,C40,King's Pawn Game: Gunderam Gambit
TSUNAMI84,cabri007,1-0,A00,Gedult's
cabri007,TSUNAMI84,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
TSUNAMI84,cabri007,1-0,A02,Bird
Elmo123,cabri007,0-1,A00,Hungarian
cabri007,Mipsel,1-0,B12,Caro-Kann Defense: Advance Variation
cabri007,Chika96_KGZ,0-1,B02,Alekhine Defense: Scandinavian Variation
cabri007,salman2006,1-0,C44,"Scotch Game: Scotch Gambit, London Defense"
Chika96_KGZ,cabri007,0-1,C11,"French Defense: Steinitz Variation, Boleslavsky Variation"
cabri007,Chika96_KGZ,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation"
Jawslouis,cabri007,0-1,D06,Queen's Gambit Declined: Marshall Defense
cabri007,claudia0833,0-1,C01,French Defense: Exchange Variation
claudia0833,cabri007,1-0,C13,"French Defense: Classical Variation, Normal Variation"
cabri007,talentlessnoober,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation"
cabri007,ofolha,1-0,B21,Sicilian Defense: Smith-Morra Gambit
ofolha,cabri007,1-0,C13,"French Defense: Alekhine-Chatard Attack, Breyer Variation"
cabri007,ofolha,0-1,C41,Philidor Defense: Hanham Variation
sai1022,cabri007,0-1,C01,French Defense: Exchange Variation
Platense1941octubre,cabri007,0-1,C00,French Defense: Rti-Spielmann Attack
DimashAs,cabri007,0-1,C02,French Defense: Advance Variation
cabri007,DimashAs,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
DimashAs,cabri007,1-0,D53,Queen's Gambit Declined
cabri007,DimashAs,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
ahadnabiyev,cabri007,1-0,C00,French Defense: Knight Variation
cabri007,ahadnabiyev,0-1,C50,Italian Game: Giuoco Pianissimo
ahadnabiyev,cabri007,1-0,C00,French Defense
cabri007,Xar1,1-0,B44,"Sicilian Defense: Taimanov Variation, Szn Variation"
JackSonJe,cabri007,1-0,C01,French Defense: Exchange Variation
cabri007,JackSonJe,0-1,B32,Sicilian Defense: Open
JackSonJe,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,JackSonJe,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
JackSonJe,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,JackSonJe,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
JackSonJe,cabri007,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cabri007,batman2025,0-1,A10,English
batman2025,cabri007,1-0,A43,Benoni Defense: Old Benoni
cabri007,batman2025,1/2-1/2,A10,English
batman2025,cabri007,1-0,D00,Queen's Pawn Game
cabri007,batman2025,1-0,A10,English
batman2025,cabri007,0-1,A45,Indian Defense
cabri007,batman2025,1-0,A10,English
batman2025,cabri007,1-0,A56,Benoni Defense: Hromdka System
