Blancas,Negras,Result,ECO,Opening
GHkeiven,Wilsonpalencia,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
franblu,GHkeiven,1-0,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
Wilsonpalencia,GHkeiven,1-0,A40,Horwitz Defense
rubenjph,GHkeiven,0-1,C50,Giuoco Piano
GHkeiven,Paulingpompa,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
dovetailent,GHkeiven,0-1,A01,Nimzo-Larsen Attack: Modern Variation
GHkeiven,dovetailent,1-0,C00,French Defense: Knight Variation
YosoyAventurero,GHkeiven,1-0,D06,Queen's Gambit
franxep,GHkeiven,1-0,D32,Tarrasch Defense: Schara Gambit
GHkeiven,camparikorn,0-1,C45,Scotch Game: Classical Variation
GHkeiven,spiralgalactic,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Benitez1992,GHkeiven,1-0,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
GHkeiven,Benitez1992,1-0,B00,St. George Defense
Benitez1992,GHkeiven,0-1,D00,Queen's Pawn Game: Mason Variation
GHkeiven,Benitez1992,1-0,B00,St. George Defense
Benitez1992,GHkeiven,1-0,D30,Queen's Gambit Declined
GHkeiven,Benitez1992,1-0,B50,Sicilian Defense
Benitez1992,GHkeiven,1-0,C26,Vienna Game: Stanley Variation
GHkeiven,Benitez1992,1-0,C62,Ruy Lopez: Steinitz Defense
Benitez1992,GHkeiven,0-1,A41,Queen's Pawn Game
GHkeiven,Benitez1992,0-1,B06,Modern Defense
Benitez1992,GHkeiven,0-1,D30,Queen's Gambit Declined
GHkeiven,Benitez1992,1-0,C44,King's Knight : Normal Variation
GHkeiven,Benitez1992,1/2-1/2,B06,Modern Defense
GHkeiven,davidvalera80,1/2-1/2,B70,Sicilian Defense: Dragon Variation
Wasdin1968,GHkeiven,0-1,-1,-1
GHkeiven,Nayaaaa,1-0,C44,Scotch Game
caolinita,GHkeiven,1-0,C62,Ruy Lopez: Steinitz Defense
EgrojM,GHkeiven,1-0,C44,Scotch Game: Scotch Gambit
luyed4,GHkeiven,1-0,C26,Vienna Game: Mieses Variation
GHkeiven,Nayaaaa,1-0,C45,Scotch Game: Classical Variation
GHkeiven,willmer1010,0-1,-1,-1
ameliawfm,GHkeiven,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
GHkeiven,Linne95,1-0,C40,Elephant Gambit
