Blancas,Negras,Result,ECO,Opening
Lego77,V1V1V1,1-0,D00,Queen's Pawn Game
Gallo25,Lego77,0-1,B12,Caro-Kann Defense: Advance Variation
Ilieck,Lego77,1-0,D10,Slav Defense: Exchange Variation
Lego77,ayser177,0-1,A40,Modern Defense
Lego77,Garcipovich,0-1,A45,Indian Defense
Wumic,Lego77,1-0,D02,Queen's Pawn Game: Zukertort Variation
Lego77,aanlinggar,0-1,D00,Queen's Pawn Game
Lego77,Widney,0-1,D00,Queen's Pawn Game
Widney,Lego77,1-0,B10,Caro-Kann Defense
TwoKs,Lego77,1-0,D10,Slav Defense
Lego77,phillipsesane,1-0,D00,Queen's Pawn Game
Lego77,ronald7agabao,0-1,D00,Queen's Pawn Game
dan6688,Lego77,1-0,B15,Caro-Kann Defense: Rasa-Studier Gambit
Lego77,bugbear45,1-0,A45,Indian Defense
Lego77,BryndenRivers20,0-1,D00,Queen's Pawn Game
aravindhplay64,Lego77,0-1,B17,Caro-Kann Defense: Karpov Variation
Lego77,Elmejordelaula,0-1,A43,Benoni Defense: Old Benoni
kasparovgenoa,Lego77,0-1,A40,Queen's Pawn Game
shayjaya,Lego77,1-0,B10,Caro-Kann Defense
abrahamoniwo,Lego77,1-0,B17,Caro-Kann Defense: Karpov Variation
Lego77,Mickey187,0-1,A45,Indian Defense
Lego77,jesususo,1-0,A40,Queen's Pawn Game
Amakusa-Mariku,Lego77,1-0,B10,Caro-Kann Defense
Lego77,drzoro,1-0,D00,Queen's Pawn Game
Lego77,favour2,0-1,A40,Queen's Pawn Game
Archisabir,Lego77,0-1,B10,Caro-Kann Defense
Axiom_of_Choice,Lego77,1-0,B12,Caro-Kann Defense: Advance Variation
Lego77,RematchNoob,1-0,A40,Queen's Pawn Game
Lego77,brian_27,1-0,A40,Horwitz Defense
soujirouseta,Lego77,1-0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack"
Paulo0303,Lego77,0-1,B17,Caro-Kann Defense: Karpov Variation
Lego77,abbesyagoubizx,1-0,D00,Queen's Pawn Game
Lego77,Urip_widuri,0-1,A45,Indian Defense
LudoChess1979,Lego77,0-1,D11,Slav Defense: Modern Line
Lego77,iSaIasGuerra,1-0,A41,Queen's Pawn Game
ornello1,Lego77,1-0,B14,Caro-Kann Defense: Panov Attack
pabloq10,Lego77,1-0,A40,Queen's Pawn Game
Lego77,JonoBKD_PCTR,0-1,D00,Queen's Pawn Game
JonoBKD_PCTR,Lego77,1-0,D10,Slav Defense: Diemer Gambit
Lego77,Real-Toca,0-1,A45,Indian Defense
Lego77,savachier3,0-1,A41,Queen's Pawn Game
Timex23,Lego77,0-1,B17,Caro-Kann Defense: Karpov Variation
Lego77,ufuoma100,1-0,D00,Queen's Pawn Game
mushipirov,Lego77,0-1,A04,Zukertort : Slav Invitation
Lego77,riba100,1/2-1/2,A45,Indian Defense
Lego77,irinkaramilka,1-0,A45,Indian Defense
SteveMwanza,Lego77,0-1,B10,Caro-Kann Defense
Lego77,playchesswithme,1-0,A80,Dutch Defense
Lego77,circuiteiro,0-1,A45,Indian Defense
circuiteiro,Lego77,1-0,B17,Caro-Kann Defense: Karpov Variation
Lego77,doctor_mate777,0-1,A40,Mikenas Defense
jag24,Lego77,0-1,B13,Caro-Kann Defense: Exchange Variation
Lego77,groegazthh,0-1,A40,Horwitz Defense
groegazthh,Lego77,1-0,B17,Caro-Kann Defense: Karpov Variation
harriguz1976,Lego77,1-0,B10,Caro-Kann Defense
Lego77,harriguz1976,0-1,A45,Indian Defense
Pasime,Lego77,1-0,B17,Caro-Kann Defense: Karpov Variation
Raphaelcra,Lego77,0-1,A40,Queen's Pawn Game
Lego77,raymond83,0-1,A45,Indian Defense
