Blancas,Negras,Result,ECO,Opening
cdplayer72,rfc11,1-0,B20,Sicilian Defense: Bowdler Attack
rfc11,Braxo87,1-0,A13,English : Agincourt Defense
younes_radouane,rfc11,1-0,B21,Sicilian Defense: Smith-Morra Gambit
wilgusme,rfc11,1-0,B06,Modern Defense
rfc11,yertet,0-1,B00,Nimzowitsch Defense: Declined Variation
rfc11,Agosto11,0-1,A09,Rti : Rti Accepted
kral73,rfc11,0-1,B20,Sicilian Defense: Bowdler Attack
taka_notnice,rfc11,0-1,A40,Modern Defense
rfc11,Pg2828,0-1,A21,"English : King's English Variation, Reversed Sicilian"
rfc11,nsaraj175,1-0,A22,English : Carls-Bremen System
Budarin,rfc11,1-0,A05,King's Indian Attack: Symmetrical Defense
tambuktu,rfc11,1-0,B33,Sicilian Defense: Open
rfc11,bMojtaba,0-1,A10,English
rfc11,n3tug,1-0,B40,Sicilian Defense: Paulsen-Basman Defense
rfc11,CakeIsALie,0-1,A45,Queen's Pawn Game: Chigorin Variation
bro88,rfc11,1-0,B20,Sicilian Defense: Bowdler Attack
Sochaczewiak,rfc11,1-0,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
rfc11,sudea,1-0,C50,"Italian Game: Classical Variation, Albin Gambit"
rfc11,butterflyopening,0-1,C00,French Defense: Knight Variation
hernyto187,rfc11,0-1,B21,Sicilian Defense: McDonnell Attack
mjc09,rfc11,0-1,A05,King's Indian Attack: Symmetrical Defense
rfc11,HOTI,0-1,B06,Modern Defense
Tlingitshark,rfc11,0-1,B21,Sicilian Defense: Smith-Morra Gambit
philippOk,rfc11,0-1,C23,Bishop's
rfc11,Guerdan,0-1,C00,French Defense: Knight Variation
charliedobson,rfc11,1-0,A48,London System
rfc11,Don_Obas,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
conberd,rfc11,1-0,A45,Indian Defense
rfc11,Rija_khoerul_umam,1-0,B10,Caro-Kann Defense
rfc11,Tharun10,0-1,D30,Queen's Gambit Declined
rfc11,aenginc,0-1,C50,Italian Game
TareqAttiaEG7,rfc11,0-1,B20,Sicilian Defense: Bowdler Attack
kevinorwa254,rfc11,0-1,A15,English : Anglo-Indian Defense
rfc11,hsule,0-1,C42,Russian Game: Italian Variation
lussy,rfc11,0-1,B33,Sicilian Defense: Open
rfc11,Konstantn111,0-1,B01,Scandinavian Defense: Main Line
rfc11,MACGYVER_20ACDC,1-0,A10,English : Anglo-Scandinavian Defense
MACGYVER_20ACDC,rfc11,0-1,A48,East Indian Defense
ovi877,rfc11,0-1,B22,Sicilian Defense: Alapin Variation
rfc11,zukov_ski,0-1,C62,Ruy Lopez: Steinitz Defense
Eug26,rfc11,1-0,A15,English : Anglo-Indian Defense
awakesommersby,rfc11,1-0,A00,Mieses
rfc11,coa_92,0-1,C50,Italian Game: Schilling-Kostic Gambit
rfc11,Grebe_Strut,1-0,B90,Sicilian Defense: Najdorf Variation
ehsansoheylirad,rfc11,1-0,B21,Sicilian Defense: Smith-Morra Gambit
rfc11,raul007,0-1,B01,Scandinavian Defense
rfc11,SHAMS_tabriz,0-1,B00,Borg Defense
HannaAleid97,rfc11,1-0,B32,Sicilian Defense: Accelerated Dragon
rfc11,HannaAleid97,1-0,B01,Scandinavian Defense
HannaAleid97,rfc11,0-1,B33,Sicilian Defense: Open
rfc11,eddp,1-0,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
savalannet,rfc11,1-0,B30,Sicilian Defense: Old Sicilian
suresh231975,rfc11,1-0,B33,Sicilian Defense: Open
Mamon-khreis1997,rfc11,1-0,A48,London System
rfc11,A_Salehovic,0-1,D02,Queen's Pawn Game: Krause Variation
PalitoOrtega,rfc11,0-1,E70,King's Indian Defense: Normal Variation
rfc11,SFERANT1122,0-1,C01,French Defense: Exchange Variation
rfc11,cesaravila12041968,0-1,C50,"Italian Game: Classical Variation, Albin Gambit"
kahrabian,rfc11,0-1,D85,"Grnfeld Defense: Exchange Variation, Modern Exchange Variation"
Birbesh,rfc11,0-1,B30,Sicilian Defense: Old Sicilian
rfc11,rv620721,0-1,B00,Pirc Defense
Flooflo,rfc11,1-0,D78,"Neo-Grnfeld Defense: Classical Variation, Original Defense"
rfc11,Flawlxss,0-1,C50,Giuoco Piano
