Blancas,Negras,Result,ECO,Opening
lisyender,FabianoCaruana2019,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
BLG125,lisyender,1-0,A45,Indian Defense
Darhanbaatar,lisyender,1/2-1/2,D01,Richter-Veresov Attack
mymoon4ik,lisyender,1-0,C47,Four Knights Game
lisyender,RussiaPower,0-1,C00,French Defense: King's Indian Attack
madomdy,lisyender,0-1,C51,"Italian Game: Evans Gambit, Anderssen Variation, Cordel Line"
lisyender,avlabar,1-0,B06,Modern Defense: Standard Defense
lisyender,mahkoo,0-1,C00,French Defense: King's Indian Attack
Drfeelgood_death,lisyender,1-0,C45,Scotch Game: Mieses Variation
lisyender,trakyalitarko,1-0,B07,Pirc Defense
Shershenevich,lisyender,1-0,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
lisyender,KentAaron2908,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
youagainst,lisyender,1-0,A51,Indian Defense: Budapest Defense
lisyender,Docgerttr,1-0,B01,Scandinavian Defense: Modern Variation
Docgerttr,lisyender,1/2-1/2,E62,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System"
lisyender,Deneb_Gaitan84,1-0,B01,Scandinavian Defense
patmat123,lisyender,0-1,A05,King's Indian Attack: Symmetrical Defense
lisyender,sparrow1985,0-1,C53,Italian Game: Classical Variation
lisyender,gaypeople,1-0,B07,Pirc Defense
RossJr,lisyender,1-0,A51,Indian Defense: Budapest Defense
lisyender,RossJr,1/2-1/2,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
Bulletrovich,lisyender,1/2-1/2,A49,Indian Defense: Przepiorka Variation
lisyender,MLapaj,0-1,C00,French Defense: King's Indian Attack
MLapaj,lisyender,1/2-1/2,C60,Ruy Lopez: Cozio Defense
ertugrull01,lisyender,1-0,E62,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System"
Humrana,lisyender,1-0,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
lisyender,Nezh2,1-0,A08,King's Indian Attack: Sicilian Variation
lisyender,pseudonymous3,0-1,C00,French Defense: King's Indian Attack
actenoides,lisyender,0-1,A52,"Indian Defense: Budapest Defense, Alekhine Variation, Abonyi Variation"
lisyender,iamking123,1-0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
lisyender,farshid2700,1-0,B40,Sicilian Defense: French Variation
nutzy35,lisyender,1-0,E81,"King's Indian Defense: Smisch Variation, Normal Defense"
MarianoRG,lisyender,1-0,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line"
lisyender,lichess AI level 4,1-0,B20,Sicilian Defense: Bowdler Attack
TensiveCobra9,lisyender,0-1,C49,Four Knights Game: Double Spanish
lisyender,Roca23,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
lisyender,LourChess2109,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
LourChess2109,lisyender,1-0,C11,"French Defense: Classical Variation, Swiss Variation"
PerroLobo107,lisyender,1-0,C53,Italian Game: Classical Variation
The_moddest_guy,lisyender,0-1,C47,Four Knights Game: Scotch Variation Accepted
lisyender,Zyros88,1-0,B07,Czech Defense
lisyender,ZweiteMannschaft,1-0,B06,Modern Defense: Standard Defense
Goku2022,lisyender,0-1,C51,"Italian Game: Evans Gambit, Anderssen Variation"
lisyender,GoldenEyes,1-0,B07,Pirc Defense
jassal,lisyender,1-0,A01,Nimzo-Larsen Attack: Indian Variation
Zerowitz,lisyender,0-1,A05,King's Indian Attack: Symmetrical Defense
COOLER-M,lisyender,1-0,C44,"Scotch Game: Scotch Gambit, Dubois Rti Defense"
lisyender,NelsonEAlvarezA_CAQ,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
