Blancas,Negras,Result,ECO,Opening
Karl_V,ACEROJAVIER,0-1,B06,Modern Defense: Pseudo-Austrian Attack
abuobaidy,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,sohrab65,0-1,D02,Queen's Pawn Game: Zukertort Variation
Eskiu,ACEROJAVIER,1-0,A02,Bird
ACEROJAVIER,hanibal111,1-0,D02,Queen's Pawn Game: Zukertort Variation
ACEROJAVIER,andrea64,0-1,D02,Queen's Pawn Game: Krause Variation
andrea64,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,Arthurcma,1/2-1/2,A04,Zukertort : Sicilian Invitation
EFBAIDE,ACEROJAVIER,1-0,A40,Modern Defense
ACEROJAVIER,pike-as,0-1,D02,Queen's Pawn Game: Zukertort Variation
ACEROJAVIER,Zukerman989,1-0,A04,Zukertort : Slav Invitation
ACEROJAVIER,kingkongdong,0-1,D02,Queen's Pawn Game: Anti-Torre
ACEROJAVIER,joseluisplaza1,0-1,A41,Wade Defense
joseluisplaza1,ACEROJAVIER,1-0,A40,Modern Defense
ACEROJAVIER,Petro_chess,1-0,A04,Zukertort : Queen's Gambit Invitation
Petro_chess,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,Lues,0-1,D02,Queen's Pawn Game: London System
IlhabiteaKars,ACEROJAVIER,1/2-1/2,A40,Modern Defense
ACEROJAVIER,gummibaer,0-1,D02,Queen's Pawn Game: London System
gummibaer,ACEROJAVIER,0-1,B06,Modern Defense
ACEROJAVIER,gummibaer,1-0,D02,Queen's Pawn Game: London System
gummibaer,ACEROJAVIER,0-1,B06,Modern Defense: Standard Defense
ACEROJAVIER,gummibaer,0-1,D02,Queen's Pawn Game: London System
henzar5,ACEROJAVIER,0-1,A42,Modern Defense: Kotov Variation
Vinit_Pandey321,ACEROJAVIER,0-1,B06,Modern Defense: Two Knights Variation
HUmanMustard,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,LUISLAURA,1-0,A04,Zukertort : Black Mustang Defense
ACEROJAVIER,diaperman123,1-0,D02,Queen's Pawn Game: London System
ACEROJAVIER,Demans2,0-1,A04,Zukertort : Queenside Fianchetto Variation
Demans2,ACEROJAVIER,0-1,A01,Nimzo-Larsen Attack
ACEROJAVIER,OffToWar,0-1,D02,Queen's Pawn Game: London System
OffToWar,ACEROJAVIER,1-0,A42,Modern Defense: Kotov Variation
mec77,ACEROJAVIER,1-0,B06,Modern Defense: Standard Defense
ACEROJAVIER,FamilyAfterLife26,0-1,D00,Queen's Pawn Game: Mason Variation
FamilyAfterLife26,ACEROJAVIER,0-1,B07,Modern Defense: Geller's System
ACEROJAVIER,FamilyAfterLife26,1/2-1/2,D02,Queen's Pawn Game: Chigorin Variation
FamilyAfterLife26,ACEROJAVIER,1/2-1/2,B06,Modern Defense: Two Knights Variation
ACEROJAVIER,FamilyAfterLife26,1-0,D02,Queen's Pawn Game: Chigorin Variation
ACEROJAVIER,PaulKeres2020,1-0,D02,Queen's Pawn Game: Krause Variation
ACEROJAVIER,Haewk,1-0,D02,Queen's Pawn Game: London System
ACEROJAVIER,k0n13,1-0,A04,Zukertort : Sicilian Invitation
k0n13,ACEROJAVIER,1-0,A41,Modern Defense
ACEROJAVIER,ed7227,0-1,A04,Zukertort : Black Mustang Defense
ACEROJAVIER,rollhens,1-0,A04,Zukertort : Sicilian Invitation
ayman_kora,ACEROJAVIER,1-0,A04,Zukertort : Kingside Fianchetto
ACEROJAVIER,darkwind88,1-0,A04,Zukertort : Black Mustang Defense
ACEROJAVIER,dagani_101,1-0,A04,Zukertort : Sicilian Invitation
ApoloRey,ACEROJAVIER,0-1,B06,Modern Defense: Three Pawns Attack
lebrasco,ACEROJAVIER,0-1,B06,Modern Defense
ACEROJAVIER,lebrasco,1-0,D02,Queen's Pawn Game: Chigorin Variation
lebrasco,ACEROJAVIER,0-1,B06,Modern Defense: Two Knights Variation
ACEROJAVIER,lebrasco,0-1,D02,Queen's Pawn Game: Chigorin Variation
ChopChopMate,ACEROJAVIER,1-0,B06,Modern Defense
Medlemon,ACEROJAVIER,0-1,A41,Modern Defense
ACEROJAVIER,Medlemon,0-1,A48,London System
Hansker,ACEROJAVIER,1-0,B06,Modern Defense: Two Knights Variation
ACEROJAVIER,CAREM,0-1,D02,Queen's Pawn Game: Zukertort Variation
ACEROJAVIER,KnightGhost1,0-1,A04,Zukertort : Queen's Gambit Invitation
ACEROJAVIER,WCASTANEDA,1-0,D02,Queen's Pawn Game: Anti-Torre
WCASTANEDA,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,anacoreta47,1-0,A04,Zukertort : Kingside Fianchetto
ACEROJAVIER,otrebronmtz,0-1,A04,Zukertort : Kingside Fianchetto
ACEROJAVIER,BestPosition,0-1,-1,-1
ACEROJAVIER,rigotriana,0-1,D02,Queen's Pawn Game: London System
JonasBallena,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,puntadeleste,0-1,A04,Zukertort : Sicilian Invitation
rigotriana,ACEROJAVIER,0-1,B06,Modern Defense
Guaimare,ACEROJAVIER,0-1,B06,Modern Defense: Standard Defense
ACEROJAVIER,darwinjhoan-09,1-0,D02,Queen's Pawn Game: London System
TLuciano200,ACEROJAVIER,0-1,B06,Modern Defense: Standard Defense
ACEROJAVIER,JLRHei,0-1,A04,Zukertort : Kingside Fianchetto
ACEROJAVIER,UltraInstinctPawn,1-0,D02,Queen's Pawn Game: Zukertort Variation
maldelman,ACEROJAVIER,1-0,B06,Modern Defense: Two Knights Variation
ACEROJAVIER,sikada3301,0-1,D02,Queen's Pawn Game: Zukertort Variation
pablo4522,ACEROJAVIER,0-1,A40,Modern Defense
Samanja123,ACEROJAVIER,1-0,B06,Modern Defense: Bishop Attack
jpdcurly,ACEROJAVIER,1-0,B06,Modern Defense
ACEROJAVIER,Auditum,1-0,A46,Indian Defense: Knights Variation
jgarciav86,ACEROJAVIER,1-0,B06,Modern Defense
Nikev57,ACEROJAVIER,0-1,B06,Modern Defense
Hamsterkauf25,ACEROJAVIER,0-1,B06,Modern Defense: Two Knights Variation
