Blancas,Negras,Result,ECO,Opening
Kapoyar,Junior28,0-1,B30,Sicilian Defense: Old Sicilian
Junior28,Jonimafriend,1-0,D00,Queen's Pawn Game: Mason Variation
DMMV,Junior28,1-0,A02,Bird
Junior28,HectOctet,0-1,D00,Queen's Pawn Game: Mason Variation
Okado89,Junior28,0-1,B20,Sicilian Defense
Junior28,Daniel_LH84,0-1,B23,Sicilian Defense: Closed
AddingCurry,Junior28,1-0,A45,Indian Defense
Junior28,cesarproxd,0-1,D00,Queen's Pawn Game: Mason Variation
Junior28,fisicomedico,1-0,A45,Indian Defense
Jose_20,Junior28,0-1,A00,Van't Kruijs
Junior28,MoisesHK45,1-0,B06,Modern Defense
PerozoA,Junior28,1-0,C14,"French Defense: Classical Variation, Tarrasch Variation"
Junior28,rosmarly,0-1,D00,Queen's Pawn Game: Mason Variation
Jimenez_21,Junior28,0-1,A00,Van Geet : Venezolana Variation
Junior28,speedpump,0-1,A45,Indian Defense
florezunesfalcon,Junior28,0-1,A00,Van't Kruijs
Junior28,DPothuru,1-0,C42,Russian Game: Stafford Gambit
Cindyespana30,Junior28,0-1,B22,Sicilian Defense: Alapin Variation
Junior28,Jimenez_21,1-0,C00,French Defense: Mediterranean Defense
Royber17051999,Junior28,0-1,D00,Queen's Pawn Game
Junior28,YovannYJFA,1-0,A40,Englund Gambit
Jose_20,Junior28,0-1,B20,Sicilian Defense: Staunton-Cochrane Variation
Junior28,DBricHer,1-0,B00,Hippopotamus Defense
yousaf,Junior28,1-0,A00,Van't Kruijs
Junior28,mustafaayhan,0-1,B08,Pirc Defense: Classical Variation
gojekdriver,Junior28,1-0,D02,Queen's Pawn Game: Zukertort Variation
Junior28,fatpit01,0-1,B01,Scandinavian Defense: Main Line
Junior28,Rubikon3,1-0,B06,Modern Defense
ceghj,Junior28,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Zouarimustafa2222,Junior28,0-1,D36,"Queen's Gambit Declined: Exchange Variation, Reshevsky Variation"
Junior28,DocBollywood,1-0,A40,Englund Gambit
AleEss,Junior28,0-1,A05,King's Indian Attack: Symmetrical Defense
Junior28,posteder21,0-1,C40,King's Pawn Game: Damiano Defense
Junior28,Varkenskopje,0-1,C01,French Defense: Exchange Variation
jegmonster,Junior28,1-0,B22,Sicilian Defense: Alapin Variation
specific70,Junior28,1-0,D01,Rapport-Jobava System
Junior28,T_angent,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
fleshwashed,Junior28,0-1,E61,King's Indian Defense
Junior28,jesus30384153,0-1,D00,Queen's Pawn Game: Mason Variation
chrissdulceyxd,Junior28,1-0,D00,Queen's Pawn Game: Mason Variation
jgonzalezm132,Junior28,0-1,B30,Sicilian Defense: Old Sicilian
Junior28,Douglas_Martinez,1-0,A40,English Defense
DBricHer,Junior28,0-1,A00,Van't Kruijs
Junior28,freddygtv,0-1,D00,Queen's Pawn Game: Mason Variation
Junior28,Lastholy,1-0,B32,Sicilian Defense: Open
yormanali79,Junior28,1-0,B95,Sicilian Defense: Najdorf Variation
CRIMI12020,Junior28,0-1,A00,Van't Kruijs
thirteencurves,Junior28,1-0,A00,Hungarian : Sicilian Invitation
Junior28,snoyl,0-1,B24,"Sicilian Defense: Closed, Fianchetto Variation"
moratboz,Junior28,0-1,B20,Sicilian Defense: Bowdler Attack
Junior28,Luisito73,0-1,B23,Sicilian Defense: Closed
Junior28,FinnausMauer,1-0,B13,Caro-Kann Defense: Exchange Variation
jbutzu,Junior28,1-0,A00,Hungarian : Sicilian Invitation
Junior28,I-MUST-BE-VICTORIOUS,0-1,A40,Queen's Pawn Game
SCabezasPuc,Junior28,1-0,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation"
ucastrobr,Junior28,0-1,A45,Indian Defense
Junior28,kravec,1-0,A40,Horwitz Defense
Junior28,stlchessboxing,0-1,A45,Indian Defense
Junior28,franci_et,0-1,D08,Queen's Gambit Declined: Albin Countergambit
Junior28,Talokan,1-0,A40,Queen's Pawn Game
Vataga,Junior28,1-0,E70,King's Indian Defense: Accelerated Averbakh Variation
yoffer27,Junior28,1/2-1/2,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
VozK,Junior28,0-1,D00,Queen's Pawn Game: Mason Variation
Junior28,wild_attacker,0-1,D00,Queen's Pawn Game: Mason Variation
SamiSalahElbehairy,Junior28,1-0,B20,Sicilian Defense: Bowdler Attack
Junior28,FranklynSilva,1-0,C64,Ruy Lopez: Classical Variation
Junior28,galibwyn,0-1,D00,Queen's Pawn Game: Mason Variation
Salfor,Junior28,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
RiswanKolut,Junior28,1-0,D53,Queen's Gambit Declined
Junior28,haujnderr,0-1,D00,Queen's Pawn Game: Mason Variation
