Blancas,Negras,Result,ECO,Opening
Doandris2004,Napomagno,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Megaterio,Doandris2004,1-0,C15,"French Defense: Winawer Variation, Delayed Exchange Variation"
Doandris2004,leisner2004,0-1,C20,King's Pawn Game: Leonardis Variation
leisner2004,Doandris2004,0-1,B02,Alekhine Defense: Marczy Variation
Doandris2004,leisner2004,1-0,A40,Englund Gambit
leisner2004,Doandris2004,0-1,C43,"Russian Game: Modern Attack, Symmetrical Variation"
Doandris2004,leisner2004,0-1,A21,"English : King's English Variation, Reversed Sicilian"
leisner2004,Doandris2004,1-0,C40,Elephant Gambit
Doandris2004,leisner2004,0-1,C21,Danish Gambit
leisner2004,Doandris2004,0-1,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,A40,Englund Gambit
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,1-0,A40,Englund Gambit
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
RAILEI,Doandris2004,0-1,C00,French Defense: Knight Variation
Doandris2004,leisner2004,0-1,C41,Philidor Defense: Hanham Variation
leisner2004,Doandris2004,0-1,C01,French Defense: Exchange Variation
leisner2004,Doandris2004,0-1,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,C44,"Scotch Game: Gring Gambit, Double Pawn Sacrifice"
leisner2004,Doandris2004,0-1,C20,King's Pawn Game: Leonardis Variation
Doandris2004,leisner2004,0-1,C20,King's Pawn Game: Leonardis Variation
leisner2004,Doandris2004,0-1,C11,French Defense: Steinitz Variation
Doandris2004,leisner2004,0-1,A00,Englund Gambit Declined: Reversed French
leisner2004,Doandris2004,0-1,B02,Alekhine Defense: Marczy Variation
Doandris2004,leisner2004,1-0,A00,Mieses : Reversed Rat
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,A00,Sodium Attack
leisner2004,Doandris2004,0-1,B02,Alekhine Defense
Doandris2004,leisner2004,1-0,A40,Englund Gambit
leisner2004,Doandris2004,0-1,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,A00,Mieses : Reversed Rat
leisner2004,Doandris2004,0-1,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,C20,King's Pawn Game: Leonardis Variation
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,mjpm,0-1,A00,Saragossa
Doandris2004,JulioCesarTovar4,1-0,D30,Queen's Gambit Declined: Traditional Variation
JulioCesarTovar4,Doandris2004,1/2-1/2,B50,Sicilian Defense: Modern Variations
cesar1212,Doandris2004,1-0,B32,"Sicilian Defense: O'Kelly Variation, Marczy Bind, Geller Line"
Virvisan,Doandris2004,1-0,A45,Indian Defense
Doandris2004,sonson28291,1/2-1/2,B41,Sicilian Defense: Kan Variation
dark_soulUwU,Doandris2004,0-1,C47,Four Knights Game
leobenitez,Doandris2004,1-0,A40,Horwitz Defense
Doandris2004,Madjrs72,0-1,D31,Semi-Slav Defense: Accelerated Move Order
Doandris2004,konstantints,0-1,D30,Queen's Gambit Declined: Traditional Variation
mma0105,Doandris2004,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
walteriorocha,Doandris2004,0-1,C00,French Defense: Steiner Variation
Doandris2004,Alforeno1,1-0,B56,Sicilian Defense: Classical Variation
Doandris2004,Dolata,0-1,D37,Queen's Gambit Declined: Three Knights Variation
RRiRRautentico,Doandris2004,0-1,C01,French Defense: Exchange Variation
Doandris2004,stariy-papuas,1-0,B15,Caro-Kann Defense: Main Line
Rafael202111,Doandris2004,0-1,C01,French Defense: Exchange Variation
Doandris2004,Kingbobby321,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Saken85,Doandris2004,1-0,A45,Indian Defense
Doandris2004,Yannis02,1-0,A43,Benoni Defense: Benoni Gambit Accepted
pijol,Doandris2004,0-1,A22,"English : King's English Variation, Two Knights Variation"
Doandris2004,chino54,1-0,A43,Benoni Defense: Old Benoni
Rufinorosas,Doandris2004,0-1,A48,London System
mblake696969,Doandris2004,1-0,C05,"French Defense: Tarrasch Variation, Closed Variation"
Doandris2004,rakft,1-0,A00,Saragossa
ISHMAEL_SULEIMANOFF,Doandris2004,0-1,A00,Mieses : Reversed Rat
Doandris2004,ISHMAEL_SULEIMANOFF,1-0,A10,English : Anglo-Scandinavian Defense
ISHMAEL_SULEIMANOFF,Doandris2004,0-1,A45,Indian Defense
Doandris2004,ISHMAEL_SULEIMANOFF,1-0,A00,Saragossa
kahn14,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,Safinor,1-0,C36,King's Gambit Accepted: Modern Defense
Munde1983,Doandris2004,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
Doandris2004,leisner2004,1/2-1/2,A00,Saragossa
leisner2004,Doandris2004,0-1,C00,French Defense: Queen's Knight
Doandris2004,leisner2004,1-0,A40,Englund Gambit Complex: Englund Gambit
leisner2004,Doandris2004,1-0,C42,Russian Game: Three Knights Game
Doandris2004,leisner2004,1-0,C41,Philidor Defense: Hanham Variation
Doandris2004,Julian_Carax,1-0,D78,"Neo-Grnfeld Defense: Classical Variation, Original Defense"
sergiocornejo,Doandris2004,1-0,E12,Queen's Indian Defense: Kasparov Variation
odbany,Doandris2004,1-0,C02,"French Defense: Advance Variation, Main Line"
Doandris2004,ManuelGuillen22_FCAM,1-0,D02,Queen's Pawn Game: Zukertort Variation
dr_dejesus,Doandris2004,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
Pianoman83,Doandris2004,1-0,C01,French Defense: Exchange Variation
Doandris2004,dgomata,0-1,B32,Sicilian Defense: Kalashnikov Variation
Doandris2004,Regino08,1-0,C36,King's Gambit Accepted: Modern Defense
jvmaximus,Doandris2004,1-0,C00,French Defense: Knight Variation
Doandris2004,frencisco,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
nacho_gro,Doandris2004,0-1,B46,Sicilian Defense: Taimanov Variation
erick2000,Doandris2004,1-0,C01,French Defense: Exchange Variation
Doandris2004,SunnyDeeUpp,0-1,A40,Englund Gambit Complex: Englund Gambit
SunnyDeeUpp,Doandris2004,1-0,C42,Russian Game: Stafford Gambit
Doandris2004,SunnyDeeUpp,1-0,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
ernstv,Doandris2004,0-1,A46,Torre Attack
Imr2n17,Doandris2004,0-1,A01,Nimzo-Larsen Attack: Modern Variation
Doandris2004,EzequielGaona_10,1-0,C33,King's Gambit Accepted: Polerio Gambit
Doandris2004,negravicky,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation"
txitri,Doandris2004,1-0,D35,Queen's Gambit Declined: Exchange Variation
Doandris2004,weaker-and-slower,0-1,A04,Zukertort : Sicilian Invitation
Doandris2004,Skyh_gh234u7,0-1,C69,"Ruy Lopez: Exchange Variation, Gligoric Variation"
Sounds-of-Lost,Doandris2004,1-0,B22,Sicilian Defense: Alapin Variation
Genius_Shaurya_Shah,Doandris2004,1-0,B20,Sicilian Defense
cesar1212,Doandris2004,1-0,C42,Russian Game: Stafford Gambit
Doandris2004,tobita155,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
mauriciovirsan,Doandris2004,0-1,C20,King's Pawn Game: Leonardis Variation
Doandris2004,GANOCOZ,1-0,A04,Zukertort : Sicilian Invitation
HMG55,Doandris2004,1-0,C24,Bishop's : Berlin Defense
Doandris2004,CuentaDePractica,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
SAR9mm,Doandris2004,0-1,C42,Russian Game
Doandris2004,CuentaDePractica,1-0,B06,Modern Defense
pifion,Doandris2004,1-0,A35,"English : Symmetrical Variation, Four Knights Variation"
Doandris2004,spartano1,1-0,C34,King's Gambit Accepted: Fischer Defense
cesar1212,Doandris2004,1-0,B32,Sicilian Defense: Lwenthal Variation
Doandris2004,stimpetroleo,1-0,A04,Zukertort : Queen's Gambit Invitation
Doandris2004,cesar1212,0-1,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
sparta24,Doandris2004,0-1,C20,King's Pawn Game: Leonardis Variation
Doandris2004,francisclaire,0-1,B15,Caro-Kann Defense: Main Line
Doandris2004,zinakisa,1-0,B00,Owen Defense
Doandris2004,ApoloRey,0-1,D10,Slav Defense
rayador,Doandris2004,1/2-1/2,A45,Indian Defense
calciocomun,Doandris2004,1/2-1/2,D53,Queen's Gambit Declined
Guzorochi,Doandris2004,1-0,A45,Indian Defense: Omega Gambit
Doandris2004,opel09,1-0,C00,French Defense: Knight Variation
Doandris2004,PashaCamel,1-0,C00,French Defense: Knight Variation
DaniyaRR,Doandris2004,0-1,C42,Russian Game: Nimzowitsch Attack
Doandris2004,duzvites,1-0,B15,Caro-Kann Defense: Main Line
Doandris2004,fullhd,1-0,C63,Ruy Lopez: Schliemann Defense
MinusKiller,Doandris2004,0-1,A00,Gedult's
Doandris2004,ronvhate,1-0,B54,"Sicilian Defense: Modern Variations, Main Line"
ronvhate,Doandris2004,0-1,C42,"Russian Game: Cochrane Gambit, Center Variation"
Doandris2004,mguenther,1-0,B00,Owen Defense
LUCHESSPI,Doandris2004,1-0,B44,Sicilian Defense: Taimanov Variation
Doandris2004,nandettan,0-1,C64,Ruy Lopez: Classical Variation
Doandris2004,stperera,0-1,C64,Ruy Lopez: Classical Variation
srpresidente,Doandris2004,1-0,B40,Sicilian Defense: Smith-Morra Gambit Deferred
Esparvarser,Doandris2004,1-0,C05,"French Defense: Tarrasch Variation, Pawn Center Variation"
Doandris2004,HigorFPCastro,1/2-1/2,D02,Queen's Pawn Game: Zukertort Variation
JMARCA,Doandris2004,1-0,A18,English : Mikenas-Carls Variation
Doandris2004,LeonardoSilva,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
coynani,Doandris2004,1-0,C00,French Defense: La Bourdonnais Variation
Doandris2004,Jeser_albarracin,0-1,A07,"English : Anglo-Indian Defense, Grnfeld Formation"
Valerio97,Doandris2004,0-1,C00,French Defense: Two Knights Variation
Doandris2004,cbastidasros,0-1,A46,Indian Defense: Wade-Tartakower Defense
karthikaravi,Doandris2004,0-1,A15,"English : Anglo-Indian Defense, King's Knight Variation"
Doandris2004,OramaMwinjiro,0-1,E67,"King's Indian Defense: Fianchetto Variation, Debrecen Defense"
Doandris2004,Johnny343,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
aswadwera123,Doandris2004,0-1,C15,French Defense: Winawer Variation
Doandris2004,Latvian-johnny,1-0,A40,Modern Defense
Maxtbs,Doandris2004,1-0,A19,"English : Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit"
Doandris2004,hcblhcsnhtnj,0-1,D11,Slav Defense: Bonet Gambit
Camandula,Doandris2004,1-0,C00,French Defense: Chigorin Variation
ElViejoNajdorf,Doandris2004,1-0,D06,Queen's Gambit Declined: Marshall Defense
Agayabab,Doandris2004,0-1,C20,King's Pawn Game: Leonardis Variation
Esenc,Doandris2004,1-0,A50,Indian Defense: Normal Variation
Doandris2004,TheDamage,0-1,A15,"English : Anglo-Indian Defense, King's Knight Variation"
validgames,Doandris2004,0-1,C47,Four Knights Game
