Blancas,Negras,Result,ECO,Opening
Migliore321,moisesbastidas7822,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
DrHamedIR,moisesbastidas7822,0-1,B12,Caro-Kann Defense: Marczy Variation
Dima_the_Physicist,moisesbastidas7822,0-1,D11,Slav Defense: Quiet Variation
moisesbastidas7822,Andromeda1507,0-1,D02,Queen's Pawn Game: Chigorin Variation
jefftommorrow,moisesbastidas7822,1-0,D02,Queen's Pawn Game: Zukertort Variation
moisesbastidas7822,Tropifrutti,0-1,A06,Zukertort
Stripador,moisesbastidas7822,1-0,B20,Sicilian Defense: Lasker-Dunne Attack
moisesbastidas7822,zulkiflidjafar,1-0,A04,Zukertort : Queen's Gambit Invitation
moisesbastidas7822,otrebronmtz,1-0,A04,Zukertort : Black Mustang Defense
magicschoolbus,moisesbastidas7822,0-1,A40,Queen's Pawn Game
moisesbastidas7822,litag,0-1,D02,Queen's Pawn Game: Chigorin Variation
VishnuSB7,moisesbastidas7822,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
firearm,moisesbastidas7822,0-1,D02,Queen's Pawn Game: Zukertort Variation
moisesbastidas7822,NahuelSosa24,0-1,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
islavad,moisesbastidas7822,1-0,D10,Slav Defense
moisesbastidas7822,islavad,1-0,A04,Zukertort : Queen's Gambit Invitation
ManuChess88,moisesbastidas7822,1-0,B23,Sicilian Defense: Closed
oss337,moisesbastidas7822,0-1,A00,Polish
moisesbastidas7822,Dinamik967,1-0,A04,Zukertort : Sicilian Invitation
moisesbastidas7822,Aurelia30,1-0,A04,Zukertort : Pirc Invitation
Lolllll123456,moisesbastidas7822,1-0,B95,Sicilian Defense: Najdorf Variation
RenatoSena,moisesbastidas7822,0-1,B53,Sicilian Defense: Chekhover Variation
moisesbastidas7822,CentauriCloud,1-0,A04,Zukertort : Pirc Invitation
moisesbastidas7822,FATTA281,1-0,A04,Zukertort : Sicilian Invitation
Chessangie1984,moisesbastidas7822,0-1,A01,Nimzo-Larsen Attack
moisesbastidas7822,Lituma_21,0-1,A04,Zukertort : Queen's Gambit Invitation
volcahp,moisesbastidas7822,1-0,B10,Caro-Kann Defense
moisesbastidas7822,salma93,1-0,A04,Zukertort : Kingside Fianchetto
BlueDrops,moisesbastidas7822,1-0,B10,Caro-Kann Defense
moisesbastidas7822,Denis19831,1-0,A06,Zukertort
ludolui26,moisesbastidas7822,0-1,A01,Nimzo-Larsen Attack
moisesbastidas7822,Ostrazzo_78,0-1,A04,Zukertort : Black Mustang Defense
aser0et,moisesbastidas7822,0-1,A00,Hungarian : Slav Formation
B4ller1na,moisesbastidas7822,1-0,B50,"Sicilian Defense: Modern Variations, Tartakower"
moisesbastidas7822,margherito,1-0,A06,Zukertort
Dragutin1904,moisesbastidas7822,0-1,B50,Sicilian Defense: Delayed Alapin
mr-khalaji1340,moisesbastidas7822,0-1,A11,English : Caro-Kann Defensive System
moisesbastidas7822,mr-khalaji1340,0-1,A04,Zukertort : Sicilian Invitation
moisesbastidas7822,jmarta,0-1,A06,Zukertort
moisesbastidas7822,DigitalMindSet,0-1,A04,Zukertort : Black Mustang Defense
emivo,moisesbastidas7822,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Bazarbaitolonbaev,moisesbastidas7822,0-1,D11,"Slav Defense: Quiet Variation, Pin Defense"
JuanCarlosLG_PUCP,moisesbastidas7822,1-0,B10,Caro-Kann Defense
WY4Ever,moisesbastidas7822,0-1,D31,Semi-Slav Defense: Marshall Gambit
moisesbastidas7822,PauGob,0-1,A06,Zukertort
IgorDondokov,moisesbastidas7822,1-0,B50,Sicilian Defense: Modern Variations
moisesbastidas7822,Jaggeralexander,0-1,A04,Zukertort : Sicilian Invitation
moisesbastidas7822,Javpine597,1-0,D05,Queen's Pawn Game: Colle System
LeoncioBorges,moisesbastidas7822,1-0,B21,Sicilian Defense: McDonnell Attack
moisesbastidas7822,quantumgoose99,0-1,A00,Gedult's
himik12,moisesbastidas7822,0-1,B23,Sicilian Defense: Closed
knightsteven,moisesbastidas7822,1/2-1/2,D00,Queen's Pawn Game: Mason Variation
moisesbastidas7822,belbo_612,1-0,A04,Zukertort : Slav Invitation
moisesbastidas7822,Kukoracha,1-0,A06,Zukertort
