Blancas,Negras,Result,ECO,Opening
Monchosky,azrael1258,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation"
Monchosky,LegionVsNinja,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Monchosky,apbrnd,0-1,B21,Sicilian Defense: Smith-Morra Gambit
sergey69,Monchosky,0-1,A48,London System
Monchosky,kbvanker,1-0,D02,Queen's Pawn Game: Zukertort Variation
auma51,Monchosky,1-0,E70,King's Indian Defense: Normal Variation
Monchosky,Omar_Hafez_Chess,1-0,B21,Sicilian Defense: Smith-Morra Gambit
MM71,Monchosky,1-0,C00,French Defense: Knight Variation
ap1973,Monchosky,0-1,C00,French Defense: La Bourdonnais Variation
Monchosky,nardee12333,1-0,C00,"St. George Defense: New St. George, Three Pawn Attack"
zomeravondschaak,Monchosky,1-0,A45,Indian Defense
Monchosky,Duvwode,1-0,C41,Philidor Defense: Morphy Gambit
haroldmendoza2021,Monchosky,1-0,C02,"French Defense: Advance Variation, Steinitz Variation"
Monchosky,modesto57,1-0,C44,Scotch Game: Haxo Gambit
enderinn,Monchosky,1-0,A45,Indian Defense
Monchosky,player10102,1-0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack"
bdmflyer,Monchosky,0-1,C02,French Defense: Advance Variation
nepalw,Monchosky,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
Monchosky,Jcfarias1968,0-1,C44,Scotch Game: Scotch Gambit
Monchosky,Nikola55,1-0,B01,Scandinavian Defense
boredintexas,Monchosky,1-0,C01,French Defense: Exchange Variation
Ivanpino,Monchosky,0-1,C00,French Defense: Knight Variation
Monchosky,TonyC319,0-1,C44,Scotch Game: Benima Defense
THChris420,Monchosky,0-1,C05,"French Defense: Tarrasch Variation, Pawn Center Variation"
majidketabi,Monchosky,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
Monchosky,vincevinny,1-0,B12,Caro-Kann Defense: Advance Variation
Monchosky,Basilson,1-0,B01,Scandinavian Defense
ezenonso,Monchosky,1-0,E70,King's Indian Defense: Normal Variation
Monchosky,B373,1-0,C40,Elephant Gambit
pufferfish01,Monchosky,1-0,C01,French Defense: Exchange Variation
Monchosky,ramesyC-137,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Monchosky,Davide1972,0-1,C41,Philidor Defense
joonaslol,Monchosky,1-0,E60,Indian Defense: West Indian Defense
No_takeback_in_blitz,Monchosky,1-0,C00,French Defense: La Bourdonnais Variation
Monchosky,Paradigma_90,1-0,C43,"Russian Game: Modern Attack, Center Variation"
lounessss,Monchosky,1-0,E60,"Indian Defense: Anti-Grnfeld, Advance Variation"
CorgiAvalanche,Monchosky,0-1,C01,French Defense: Exchange Variation
Monchosky,SonOfLaertes,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Monchosky,Sushantabbsr,0-1,C44,Scotch Game: Scotch Gambit
Monchosky,ojuanjose,1-0,C03,French Defense: Tarrasch Variation
Monchosky,jalehyavari,0-1,C44,Scotch Game
emadtesti1991,Monchosky,0-1,C02,French Defense: Advance Variation
Monchosky,Rami84,0-1,C44,Scotch Game: Haxo Gambit
Rami84,Monchosky,1-0,C00,French Defense: Steiner Variation
zenonp,Monchosky,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
Monchosky,mohammedsoliman,1-0,C40,Latvian Gambit Accepted
rashed19,Monchosky,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
Monchosky,ilhamzul_010,0-1,B21,Sicilian Defense: Smith-Morra Gambit
kbayrak,Monchosky,0-1,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
Monchosky,neilthepatzer,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Orly30,Monchosky,1-0,C00,French Defense: Rti-Spielmann Attack
Monchosky,masterbaguette,1-0,C43,Russian Game: Modern Attack
Satendrabisht,Monchosky,1-0,C00,French Defense
ianpartridge,Monchosky,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
Monchosky,quda-xatur,0-1,B01,Scandinavian Defense
Arkanghels_Knight,Monchosky,1-0,C00,French Defense
Monchosky,amcginty,0-1,C09,"French Defense: Tarrasch Variation, Open System, Main Line"
Monchosky,motits01,1/2-1/2,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
Monchosky,Playboy069,1/2-1/2,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation"
Playboy069,Monchosky,0-1,C00,French Defense: Knight Variation
