Jugador,Partidas,Victoria Blancas,Tablas Blancas,Perdidas Blancas,Victorias Negras,Tablas Negras,Perdidas Negras,No. Victorias Blancas,No. Tablas Blancas,No. Perdidas Blancas,No. Victorias Negras,No. Tablas Negras,No. Perdidas Negras,Cod. Victorias Blancas,Cod. Tablas Blancas,Cod. Perdidas Blancas,Cod. Victorias Negras,Cod. Tablas Negras,Cod. Perdidas Negras
jesus1999gm,3449,870,78,807,843,69,782,57,6,30,41,6,59,B01,B32,C41,A45,B30,B01
chava08,462,123,13,124,101,12,89,18,3,14,14,3,12,C45,C45,C50,C50,C45,C45
josealvarez07,3617,803,69,929,804,82,930,110,7,177,194,21,110,A10,A15,B10,B10,B10,A10
adiosabu23,4620,1002,224,1193,884,236,1081,56,13,64,61,16,68,A45,A45,B32,B32,B30,A45
ghkeiven,255,42,5,88,37,3,80,7,1,8,6,1,8,B00,C42,C50,-1,A20,B32
rjpc,784,132,14,254,123,15,246,16,2,50,20,6,26,B00,B95,A43,A43,B50,-1
jacksilany,467,102,4,149,78,14,120,25,1,42,17,8,18,C45,C45,C42,C42,C42,C45
moisesbastidas7822,4542,1103,148,1107,1031,138,1015,372,41,138,130,15,341,A04,A04,B10,B10,D00,A04
ramonzambrano,1755,459,35,436,423,29,373,43,5,47,54,6,34,D37,D15,C60,C60,C60,D45
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
